"mc","theta","eta","sensit","resCri","h","f","R1_TTchase","R1_TTmirror","R0_TTchase","R0_TTmirror","part"
42,60,0.75,0.16059413122578,0.359616100060344,0.39,0.33,39,33,61,67,"42_60_0.75"
48,60,0.75,0.137391554096259,0.427154570299323,0.36,0.31,36,31,64,69,"48_60_0.75"
24,75,0.75,0.596284067858923,-0.197708313417992,0.69,0.46,69,46,31,54,"24_75_0.75"
30,75,0.75,0.407123208536646,-0.128291742168493,0.63,0.47,63,47,37,53,"30_75_0.75"
36,75,0.75,0.560352272393045,0.0782826570546715,0.58,0.36,58,36,42,64,"36_75_0.75"
42,75,0.75,0.759215672052077,0.203233671245177,0.57,0.28,57,28,43,72,"42_75_0.75"
48,75,0.75,0.380750650199227,0.115105462999784,0.53,0.38,53,38,47,62,"48_75_0.75"
54,75,0.75,0.230210925999567,0.190375325099614,0.47,0.38,47,38,53,62,"54_75_0.75"
60,75,0.75,0.373431297211263,0.337684864102409,0.44,0.3,44,30,56,70,"60_75_0.75"
66,75,0.75,0.643345405392917,0.321672702696458,0.5,0.26,50,26,50,74,"66_75_0.75"
30,90,0.75,0.452955459704288,-0.479824832987944,0.76,0.6,76,60,24,40,"30_90_0.75"
36,90,0.75,0.427723372700599,-0.339523033205373,0.71,0.55,71,55,29,45,"36_90_0.75"
42,90,0.75,0.763915757443925,-0.356888970463251,0.77,0.49,77,49,23,51,"42_90_0.75"
48,90,0.75,0.675369728204818,-0.186715648605632,0.7,0.44,70,44,30,56,"48_90_0.75"
54,90,0.75,0.481212513589305,-0.0387127776528016,0.61,0.42,61,42,39,58,"54_90_0.75"
60,90,0.75,0.70435393505245,0.201207752029448,0.56,0.29,56,29,44,71,"60_90_0.75"
66,90,0.75,0.587213945549418,0.0917134936328584,0.58,0.35,58,35,42,65,"66_90_0.75"
72,90,0.75,0.840357967657776,0.192634007187739,0.59,0.27,59,27,41,73,"72_90_0.75"
78,90,0.75,0.70850285412629,0.228590080208071,0.55,0.28,55,28,45,72,"78_90_0.75"
84,90,0.75,0.482407786759746,0.341637613891343,0.46,0.28,46,28,54,72,"84_90_0.75"
42,105,0.75,0.0798396783081702,-0.345400627253483,0.65,0.62,65,62,35,38,"42_105_0.75"
48,105,0.75,0.656148979375354,-0.378228073152411,0.76,0.52,76,52,24,48,"48_105_0.75"
54,105,0.75,0.724643333660815,-0.312168083365674,0.75,0.48,75,48,25,52,"54_105_0.75"
60,105,0.75,0.959649665975887,-0.226477729852144,0.76,0.4,76,40,24,60,"60_105_0.75"
66,105,0.75,0.789187155797488,-0.218219413117883,0.73,0.43,73,43,27,57,"66_105_0.75"
72,105,0.75,0.825233632080802,-0.0272963496328331,0.67,0.35,67,35,33,65,"72_105_0.75"
78,105,0.75,1.03396622365939,0.289438135188546,0.59,0.21,59,21,41,79,"78_105_0.75"
84,105,0.75,0.781572424939917,0.315516350370129,0.53,0.24,53,24,47,76,"84_105_0.75"
90,105,0.75,0.492874179741231,0.52575612431807,0.39,0.22,39,22,61,78,"90_105_0.75"
54,120,0.75,0.653818440067143,-0.226475499522102,0.71,0.46,71,46,29,54,"54_120_0.75"
60,120,0.75,0.485499746049414,-0.496096976160507,0.77,0.6,77,60,23,40,"60_120_0.75"
66,120,0.75,0.814706470158478,-0.205459755937388,0.73,0.42,73,42,27,58,"66_120_0.75"
72,120,0.75,0.480892079776949,0.0129010632473252,0.59,0.4,59,40,41,60,"72_120_0.75"
78,120,0.75,0.665810232577204,0.0795580131528024,0.6,0.34,60,34,40,66,"78_120_0.75"
