"mc","theta","eta","trialType","trial","trialCond","chaseR","detect","cells","part"
42,60,0.75,"chase",1,"95_chase",1,1,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",2,"95_mirror",1,0,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",3,"269_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",4,"269_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",5,"196_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",6,"196_mirror",0,1,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",7,"253_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",8,"253_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",9,"231_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",10,"231_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",11,"56_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",12,"56_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",13,"117_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",14,"117_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",15,"225_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",16,"225_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",17,"143_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",18,"143_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",19,"54_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",20,"54_mirror",1,0,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",21,"184_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",22,"184_mirror",1,0,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",23,"152_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",24,"152_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",25,"222_chase",1,1,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",26,"222_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",27,"53_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",28,"53_mirror",1,0,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",29,"200_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",30,"200_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",31,"92_chase",1,1,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",32,"92_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",33,"286_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",34,"286_mirror",1,1,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",35,"165_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",36,"165_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",37,"265_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",38,"265_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",39,"22_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",40,"22_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",41,"4_chase",1,1,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",42,"4_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",43,"154_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",44,"154_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",45,"25_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",46,"25_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",47,"274_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",48,"274_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",49,"72_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",50,"72_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",51,"58_chase",1,0,"R1_TTchase","42_60_0.75"
42,60,0.75,"mirror",52,"58_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",53,"277_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",54,"277_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",55,"149_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",56,"149_mirror",1,0,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",57,"217_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",58,"217_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",59,"192_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",60,"192_mirror",1,1,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",61,"255_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",62,"255_mirror",1,1,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",63,"281_chase",0,0,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",64,"281_mirror",1,1,"R1_TTmirror","42_60_0.75"
42,60,0.75,"chase",65,"28_chase",0,1,"R0_TTchase","42_60_0.75"
42,60,0.75,"mirror",66,"28_mirror",0,0,"R0_TTmirror","42_60_0.75"
42,60,0.75,"chase",67,"190_chase",1,1,"R1_TTchase","42_60_0.75"
