"mc","theta","sensit","resCri","f","h","r1_c","r1_m","r0_c","r0_m","goodPar"
6,15,-0.033332391,1.175149976,0.123333333,0.116666667,35,37,265,263,"bad"
12,15,0.195833142,2.030128663,0.016666667,0.026666667,8,5,292,295,"bad"
18,15,-0.238312239,2.593895769,0.006666667,0.003333333,1,2,299,298,"bad"
24,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
30,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
36,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
42,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
48,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
54,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
60,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
66,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
72,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
78,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
84,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
90,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
96,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
102,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
108,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
114,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
120,15,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,30,0.009426473,-0.491137111,0.686666667,0.69,207,206,93,94,"bad"
12,30,0.341277672,0.695039349,0.193333333,0.3,90,58,210,242,"bad"
18,30,0.314129999,1.124486566,0.1,0.166666667,50,30,250,270,"bad"
24,30,0.412468127,1.507015338,0.043333333,0.096666667,29,13,271,287,"bad"
30,30,0.54465845,1.855716009,0.016666667,0.056666667,17,5,283,295,"bad"
36,30,0.492433238,2.080131255,0.01,0.033333333,10,3,290,297,"bad"
42,30,0.25837687,2.345551214,0.006666667,0.013333333,4,2,296,298,"bad"
48,30,0.148391775,2.400543762,0.006666667,0.01,3,2,297,298,"bad"
54,30,0,2.713051888,0.003333333,0.003333333,1,1,299,299,"bad"
60,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
66,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
72,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
78,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
84,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
90,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
96,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
102,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
108,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
114,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
120,30,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,45,-0.46045982,-2.704969559,0.998333333,0.993333333,298,300,2,0,"bad"
12,45,0.266612034,-0.343734411,0.583333333,0.683333333,205,175,95,125,"bad"
18,45,0.440780779,0.228745914,0.326666667,0.496666667,149,98,151,202,"bad"
24,45,0.495129164,0.606023375,0.196666667,0.36,108,59,192,241,"bad"
30,45,0.483045724,0.884868267,0.13,0.26,78,39,222,261,"bad"
36,45,0.626630472,1.241458359,0.06,0.176666667,53,18,247,282,"bad"
42,45,0.611707688,1.626358248,0.026666667,0.093333333,28,8,272,292,"bad"
48,45,0.434539396,1.772043293,0.023333333,0.06,18,7,282,293,"bad"
54,45,0.449974716,1.903057876,0.016666667,0.046666667,14,5,286,295,"bad"
60,45,0.492433238,2.080131255,0.01,0.033333333,10,3,290,297,"bad"
66,45,0.109985095,2.271355327,0.01,0.013333333,4,3,296,297,"bad"
72,45,-0.238312239,2.593895769,0.006666667,0.003333333,1,2,299,298,"bad"
78,45,0.22214758,2.824125679,0.001666667,0.003333333,1,0,299,300,"bad"
84,45,0.22214758,2.824125679,0.001666667,0.003333333,1,0,299,300,"bad"
90,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
96,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
102,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
108,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
114,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
120,45,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,60,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,60,0.362957423,-1.373294883,0.883333333,0.94,282,265,18,35,"bad"
18,60,0.555955399,-0.505522676,0.59,0.783333333,235,177,65,123,"bad"
24,60,0.63046355,-0.079103757,0.406666667,0.653333333,196,122,104,178,"bad"
30,60,0.730057034,0.247784474,0.27,0.546666667,164,81,136,219,"bad"
36,60,0.739277672,0.520608051,0.186666667,0.44,132,56,168,244,"bad"
42,60,0.851121345,0.766255499,0.116666667,0.366666667,110,35,190,265,"bad"
48,60,0.8350833,1.01031427,0.076666667,0.276666667,83,23,217,277,"bad"
54,60,0.883869698,1.202918778,0.05,0.223333333,67,15,233,285,"bad"
60,60,0.872789776,1.314291183,0.04,0.19,57,12,243,288,"bad"
66,60,0.866749547,1.498837318,0.026666667,0.143333333,43,8,257,292,"bad"
72,60,0.861932739,1.622782541,0.02,0.116666667,35,6,265,294,"bad"
78,60,1.091745522,1.928866888,0.006666667,0.083333333,25,2,275,298,"bad"
84,60,0.998948621,1.975265339,0.006666667,0.07,21,2,279,298,"bad"
90,60,0.796669131,2.076405084,0.006666667,0.046666667,14,2,286,298,"bad"
96,60,0.608851595,2.630773671,0.001666667,0.01,3,0,297,300,"bad"
102,60,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
108,60,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
114,60,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
120,60,0,2.935199469,0.001666667,0.001666667,0,0,300,300,"bad"
6,75,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,75,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1,"bad"
18,75,0.608420237,-1.340643508,0.85,0.95,285,255,15,45,"bad"
24,75,0.800024988,-0.758471287,0.64,0.876666667,263,192,37,108,"bad"
30,75,0.861417649,-0.330275104,0.46,0.776666667,233,138,67,162,"bad"
36,75,0.984112019,-0.06132871,0.333333333,0.71,213,100,87,200,"bad"
42,75,0.931748291,0.229746128,0.243333333,0.593333333,178,73,122,227,"bad"
