mc,theta,eta,trialType,trial,trialCond,chaseR,detect,cells,part
48,75,0.75,chase,1,168_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,2,168_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,3,44_chase,1,1,R1_TTchase,48_75_0.75
48,75,0.75,mirror,4,44_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,5,127_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,6,127_mirror,1,0,R1_TTmirror,48_75_0.75
48,75,0.75,chase,7,73_chase,1,0,R1_TTchase,48_75_0.75
48,75,0.75,mirror,8,73_mirror,1,0,R1_TTmirror,48_75_0.75
48,75,0.75,chase,9,30_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,10,30_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,11,284_chase,1,0,R1_TTchase,48_75_0.75
48,75,0.75,mirror,12,284_mirror,1,0,R1_TTmirror,48_75_0.75
48,75,0.75,chase,13,166_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,14,166_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,15,288_chase,1,0,R1_TTchase,48_75_0.75
48,75,0.75,mirror,16,288_mirror,1,1,R1_TTmirror,48_75_0.75
48,75,0.75,chase,17,85_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,18,85_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,19,210_chase,1,1,R1_TTchase,48_75_0.75
48,75,0.75,mirror,20,210_mirror,1,0,R1_TTmirror,48_75_0.75
48,75,0.75,chase,21,120_chase,1,1,R1_TTchase,48_75_0.75
48,75,0.75,mirror,22,120_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,23,35_chase,0,1,R0_TTchase,48_75_0.75
48,75,0.75,mirror,24,35_mirror,1,0,R1_TTmirror,48_75_0.75
48,75,0.75,chase,25,228_chase,1,1,R1_TTchase,48_75_0.75
48,75,0.75,mirror,26,228_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,27,38_chase,0,1,R0_TTchase,48_75_0.75
48,75,0.75,mirror,28,38_mirror,1,1,R1_TTmirror,48_75_0.75
48,75,0.75,chase,29,260_chase,0,0,R0_TTchase,48_75_0.75
48,75,0.75,mirror,30,260_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,31,143_chase,1,0,R1_TTchase,48_75_0.75
48,75,0.75,mirror,32,143_mirror,0,0,R0_TTmirror,48_75_0.75
48,75,0.75,chase,33,193_chase,0,1,R0_TTchase,48_75_0.75
48,75,0.75,mirror,34,193_mirror,0,1,R0_TTmirror,48_75_0.75
