"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A12FTSX85NQ8N9","chase","trial227mod.mp4","227_chase",1,679.900000000373,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial26mod.mp4","26_mirror",2,1790.10000000149,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial227mod.mp4","227_mirror",3,1803.5,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial72mod.mp4","72_chase",4,4161.59999999963,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial108mod.mp4","108_mirror",5,3325.09999999963,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","mirror","trial169mod.mp4","169_mirror",6,2808.09999999963,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","chase","trial26mod.mp4","26_chase",7,2601.69999999925,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial169mod.mp4","169_chase",8,3189.20000000112,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial155mod.mp4","155_mirror",9,2776,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","chase","trial155mod.mp4","155_chase",10,2101.10000000149,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","chase","trial108mod.mp4","108_chase",11,2654.5,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial72mod.mp4","72_mirror",12,2989.5,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","chase","trial34mod.mp4","34_chase",13,2985.30000000075,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial124mod.mp4","124_mirror",14,2885.80000000075,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","mirror","trial214mod.mp4","214_mirror",15,2584,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial236mod.mp4","236_chase",16,2604.69999999925,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial30mod.mp4","30_chase",17,2696.10000000149,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial260mod.mp4","260_mirror",18,3228,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial201mod.mp4","201_mirror",19,3062.10000000149,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","mirror","trial19mod.mp4","19_mirror",20,3393,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial68mod.mp4","68_mirror",21,4258.09999999963,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","mirror","trial141mod.mp4","141_mirror",22,3953.70000000112,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial269mod.mp4","269_chase",23,3106.90000000037,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial289mod.mp4","289_mirror",24,2531,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial70mod.mp4","70_mirror",25,3316.80000000075,0,"correct","R0_TTmirror"
"A12FTSX85NQ8N9","mirror","trial170mod.mp4","170_mirror",26,4621.70000000112,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial68mod.mp4","68_chase",27,3909,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","chase","trial296mod.mp4","296_chase",28,2604.30000000075,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial70mod.mp4","70_chase",29,2529.5,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial236mod.mp4","236_mirror",30,3268.09999999963,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial255mod.mp4","255_chase",31,3855.5,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","chase","trial39mod.mp4","39_chase",32,2758.5,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","chase","trial261mod.mp4","261_chase",33,4480.20000000112,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","mirror","trial238mod.mp4","238_mirror",34,4553,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial299mod.mp4","299_mirror",35,3135.10000000149,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","mirror","trial176mod.mp4","176_mirror",36,4450.19999999925,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial123mod.mp4","123_chase",37,4743.40000000037,0,"incorrect","R0_TTchase"
"A12FTSX85NQ8N9","chase","trial90mod.mp4","90_chase",38,4468.19999999925,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial15mod.mp4","15_chase",39,4736.90000000037,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial282mod.mp4","282_mirror",40,2633.5,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial112mod.mp4","112_chase",41,2466.90000000037,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial246mod.mp4","246_chase",42,1803.80000000075,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","mirror","trial148mod.mp4","148_mirror",43,4404,1,"incorrect","R1_TTmirror"
"A12FTSX85NQ8N9","chase","trial82mod.mp4","82_chase",44,2567.79999999888,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial139mod.mp4","139_chase",45,3079.69999999925,1,"correct","R1_TTchase"
"A12FTSX85NQ8N9","chase","trial243mod.mp4","243_chase",46,2015,0,"incorrect","R0_TTchase"
