"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A157L6Z8QU3SDE","chase","trial288mod.mp4","288_chase",1,4453,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial135mod.mp4","135_chase",2,1254,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial205mod.mp4","205_mirror",3,1369,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","mirror","trial138mod.mp4","138_mirror",4,2034,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial39mod.mp4","39_chase",5,4704,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial138mod.mp4","138_chase",6,4586,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial288mod.mp4","288_mirror",7,4588,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial239mod.mp4","239_mirror",8,4552,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial39mod.mp4","39_mirror",9,4765,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial239mod.mp4","239_chase",10,4516,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","chase","trial205mod.mp4","205_chase",11,4648,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","mirror","trial135mod.mp4","135_mirror",12,4754,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","mirror","trial66mod.mp4","66_mirror",13,4758,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial243mod.mp4","243_mirror",14,4738,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","mirror","trial112mod.mp4","112_mirror",15,4700,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial90mod.mp4","90_chase",16,4642,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial225mod.mp4","225_chase",17,4583,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial42mod.mp4","42_mirror",18,4521,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial113mod.mp4","113_mirror",19,4458,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial18mod.mp4","18_mirror",20,4654,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial106mod.mp4","106_chase",21,4732,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","mirror","trial163mod.mp4","163_mirror",22,4435,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial190mod.mp4","190_mirror",23,4419,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial222mod.mp4","222_mirror",24,4775,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial163mod.mp4","163_chase",25,4817,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial271mod.mp4","271_chase",26,4545,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial96mod.mp4","96_mirror",27,4809,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial287mod.mp4","287_chase",28,4529,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial58mod.mp4","58_mirror",29,4585,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial215mod.mp4","215_chase",30,4728,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial190mod.mp4","190_chase",31,4574,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","chase","trial91mod.mp4","91_chase",32,4615,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial300mod.mp4","300_mirror",33,5254,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial179mod.mp4","179_chase",34,4667,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial82mod.mp4","82_chase",35,5016,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","chase","trial241mod.mp4","241_chase",36,4569,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial225mod.mp4","225_mirror",37,4681,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial21mod.mp4","21_chase",38,5320,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","mirror","trial117mod.mp4","117_mirror",39,4614,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial204mod.mp4","204_mirror",40,4678,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial218mod.mp4","218_mirror",41,4784,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial215mod.mp4","215_mirror",42,4667,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial65mod.mp4","65_chase",43,4444,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial141mod.mp4","141_chase",44,4576,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial32mod.mp4","32_mirror",45,4939,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial47mod.mp4","47_chase",46,4674,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial33mod.mp4","33_mirror",47,4583,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial191mod.mp4","191_chase",48,4465,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial47mod.mp4","47_mirror",49,1982,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","mirror","trial141mod.mp4","141_mirror",50,4695,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial195mod.mp4","195_chase",51,4556,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial21mod.mp4","21_mirror",52,4556,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","mirror","trial195mod.mp4","195_mirror",53,4681,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial25mod.mp4","25_chase",54,4592,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial89mod.mp4","89_chase",55,3159,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial222mod.mp4","222_chase",56,4274,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial73mod.mp4","73_mirror",57,5868,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial97mod.mp4","97_chase",58,2892,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial177mod.mp4","177_mirror",59,4654,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial284mod.mp4","284_chase",60,4232,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial88mod.mp4","88_mirror",61,4855,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial33mod.mp4","33_chase",62,4771,0,"incorrect","R0_TTchase"
"A157L6Z8QU3SDE","chase","trial73mod.mp4","73_chase",63,4532,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial134mod.mp4","134_mirror",64,4661,1,"incorrect","R1_TTmirror"
"A157L6Z8QU3SDE","chase","trial178mod.mp4","178_chase",65,4828,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial84mod.mp4","84_chase",66,4441,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial46mod.mp4","46_chase",67,3776,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial250mod.mp4","250_mirror",68,4511,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial151mod.mp4","151_chase",69,4148,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial77mod.mp4","77_mirror",70,3805,0,"correct","R0_TTmirror"
"A157L6Z8QU3SDE","chase","trial117mod.mp4","117_chase",71,4493,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","chase","trial252mod.mp4","252_chase",72,4410,1,"correct","R1_TTchase"
"A157L6Z8QU3SDE","mirror","trial97mod.mp4","97_mirror",73,4556,0,"correct","R0_TTmirror"
