"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1AMGHYG5PT0L2","mirror","trial56mod.mp4","56_mirror",1,7220.60000002384,0,"correct","R0_TTmirror"
"A1AMGHYG5PT0L2","chase","trial202mod.mp4","202_chase",2,4819.5,0,"incorrect","R0_TTchase"
"A1AMGHYG5PT0L2","chase","trial222mod.mp4","222_chase",3,2244.40000003576,1,"correct","R1_TTchase"
"A1AMGHYG5PT0L2","mirror","trial137mod.mp4","137_mirror",4,1923.69999998808,1,"incorrect","R1_TTmirror"
"A1AMGHYG5PT0L2","chase","trial137mod.mp4","137_chase",5,1580.19999998808,1,"correct","R1_TTchase"
"A1AMGHYG5PT0L2","chase","trial86mod.mp4","86_chase",6,1317.69999998808,0,"incorrect","R0_TTchase"
"A1AMGHYG5PT0L2","mirror","trial222mod.mp4","222_mirror",7,1276.5,0,"correct","R0_TTmirror"
"A1AMGHYG5PT0L2","chase","trial92mod.mp4","92_chase",8,925.5,1,"correct","R1_TTchase"
"A1AMGHYG5PT0L2","chase","trial56mod.mp4","56_chase",9,1564.30000001192,0,"incorrect","R0_TTchase"
"A1AMGHYG5PT0L2","mirror","trial202mod.mp4","202_mirror",10,3020.5,0,"correct","R0_TTmirror"
"A1AMGHYG5PT0L2","mirror","trial86mod.mp4","86_mirror",11,2803.69999998808,1,"incorrect","R1_TTmirror"
"A1AMGHYG5PT0L2","mirror","trial92mod.mp4","92_mirror",12,1692.80000001192,1,"incorrect","R1_TTmirror"
"A1AMGHYG5PT0L2","chase","trial218mod.mp4","218_chase",13,1901,0,"incorrect","R0_TTchase"
"A1AMGHYG5PT0L2","mirror","trial48mod.mp4","48_mirror",14,1470.59999996424,1,"incorrect","R1_TTmirror"
"A1AMGHYG5PT0L2","chase","trial119mod.mp4","119_chase",15,933.800000011921,1,"correct","R1_TTchase"
"A1AMGHYG5PT0L2","chase","trial294mod.mp4","294_chase",16,1310.40000003576,0,"incorrect","R0_TTchase"
"A1AMGHYG5PT0L2","chase","trial21mod.mp4","21_chase",17,1325.40000003576,1,"correct","R1_TTchase"
"A1AMGHYG5PT0L2","mirror","trial132mod.mp4","132_mirror",18,1941.19999998808,1,"incorrect","R1_TTmirror"
