"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1DUPOUC9RNU4L","chase","trial150mod.mp4","150_chase",1,10578.8999999762,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","mirror","trial150mod.mp4","150_mirror",2,4505.80000001192,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial225mod.mp4","225_chase",3,4843.29999998212,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","mirror","trial250mod.mp4","250_mirror",4,4954.19999998808,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial203mod.mp4","203_chase",5,5122.09999999404,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial281mod.mp4","281_mirror",6,4637,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial250mod.mp4","250_chase",7,4495.90000000596,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial111mod.mp4","111_mirror",8,4875.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial203mod.mp4","203_mirror",9,5007.59999999404,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial225mod.mp4","225_mirror",10,5084,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial111mod.mp4","111_chase",11,5270.20000001788,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial281mod.mp4","281_chase",12,4780.5,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial50mod.mp4","50_mirror",13,6745.09999999404,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial247mod.mp4","247_mirror",14,5036,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial285mod.mp4","285_chase",15,4451.79999998212,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial106mod.mp4","106_chase",16,4408.79999998212,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial276mod.mp4","276_chase",17,4343.19999998808,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial295mod.mp4","295_chase",18,4445.80000001192,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial103mod.mp4","103_chase",19,4420,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial283mod.mp4","283_mirror",20,4527.29999998212,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial36mod.mp4","36_chase",21,4519.09999999404,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial244mod.mp4","244_mirror",22,4336.40000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial208mod.mp4","208_mirror",23,4352.40000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial237mod.mp4","237_chase",24,3493.20000001788,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial109mod.mp4","109_mirror",25,365.299999982119,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial287mod.mp4","287_chase",26,4943,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","mirror","trial139mod.mp4","139_mirror",27,4361,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial175mod.mp4","175_chase",28,4423.29999998212,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial279mod.mp4","279_chase",29,4380.30000001192,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial288mod.mp4","288_chase",30,3901.69999998808,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial68mod.mp4","68_chase",31,4770.69999998808,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial234mod.mp4","234_chase",32,4637.5,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial246mod.mp4","246_chase",33,4531.19999998808,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial270mod.mp4","270_chase",34,4378.90000000596,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial247mod.mp4","247_chase",35,5022.5,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial173mod.mp4","173_chase",36,4462.30000001192,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial280mod.mp4","280_mirror",37,4379.5,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial48mod.mp4","48_mirror",38,4776.40000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial149mod.mp4","149_mirror",39,4829.59999999404,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial167mod.mp4","167_mirror",40,4409.5,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial229mod.mp4","229_mirror",41,4404.59999999404,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial288mod.mp4","288_mirror",42,4477.40000000596,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial32mod.mp4","32_mirror",43,4448,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial214mod.mp4","214_mirror",44,4395.19999998808,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial196mod.mp4","196_chase",45,4428,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","mirror","trial126mod.mp4","126_mirror",46,4662.69999998808,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial168mod.mp4","168_chase",47,4591.70000001788,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial32mod.mp4","32_chase",48,4820,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","mirror","trial174mod.mp4","174_mirror",49,4644.69999998808,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","chase","trial258mod.mp4","258_chase",50,4280.90000000596,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial185mod.mp4","185_chase",51,4424.90000000596,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial53mod.mp4","53_chase",52,4047,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial233mod.mp4","233_chase",53,4099.09999999404,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial174mod.mp4","174_chase",54,3499.60000002384,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial285mod.mp4","285_mirror",55,4446.20000001788,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial178mod.mp4","178_mirror",56,3851.20000001788,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial72mod.mp4","72_mirror",57,4593.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial175mod.mp4","175_mirror",58,4938.39999997616,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial178mod.mp4","178_chase",59,5005.5,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial49mod.mp4","49_chase",60,3792.19999998808,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial125mod.mp4","125_chase",61,3435,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial197mod.mp4","197_chase",62,3263.79999998212,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial127mod.mp4","127_chase",63,4511.5,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial127mod.mp4","127_mirror",64,4044.29999998212,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial139mod.mp4","139_chase",65,9418.5,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial18mod.mp4","18_mirror",66,6289.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial106mod.mp4","106_mirror",67,4311.19999998808,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial243mod.mp4","243_mirror",68,4377.70000001788,1,"incorrect","R1_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial275mod.mp4","275_mirror",69,3845.30000001192,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial239mod.mp4","239_chase",70,3894.90000000596,0,"incorrect","R0_TTchase"
"A1DUPOUC9RNU4L","chase","trial43mod.mp4","43_chase",71,3187,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial26mod.mp4","26_mirror",72,3557.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial267mod.mp4","267_mirror",73,4575.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial78mod.mp4","78_chase",74,4315,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial152mod.mp4","152_mirror",75,4611.59999999404,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial173mod.mp4","173_mirror",76,4345.90000000596,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","mirror","trial200mod.mp4","200_mirror",77,3994.09999999404,0,"correct","R0_TTmirror"
"A1DUPOUC9RNU4L","chase","trial243mod.mp4","243_chase",78,4411.09999999404,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","chase","trial140mod.mp4","140_chase",79,3374.5,1,"correct","R1_TTchase"
"A1DUPOUC9RNU4L","mirror","trial140mod.mp4","140_mirror",80,3016.19999998808,0,"correct","R0_TTmirror"
