"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1FDFJCZ4B5N9S","mirror","trial6mod.mp4","6_mirror",1,1253.59999990463,1,"incorrect","R1_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial3mod.mp4","3_chase",2,1567.30000019073,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","chase","trial6mod.mp4","6_chase",3,941.599999904633,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial202mod.mp4","202_mirror",4,1572.10000014305,1,"incorrect","R1_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial52mod.mp4","52_chase",5,903.099999904633,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial3mod.mp4","3_mirror",6,1219.89999985695,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial205mod.mp4","205_mirror",7,1307.29999995232,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial52mod.mp4","52_mirror",8,1277,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial35mod.mp4","35_mirror",9,1154.90000009537,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial202mod.mp4","202_chase",10,1076.5,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","chase","trial35mod.mp4","35_chase",11,1132.39999985695,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","chase","trial205mod.mp4","205_chase",12,1889.70000004768,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial161mod.mp4","161_mirror",13,2674.30000019073,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial159mod.mp4","159_mirror",14,1276.10000014305,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial242mod.mp4","242_mirror",15,1224.60000014305,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial180mod.mp4","180_chase",16,1076.79999995232,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial62mod.mp4","62_mirror",17,992,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","mirror","trial80mod.mp4","80_mirror",18,849.700000047684,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial210mod.mp4","210_chase",19,832.299999952316,0,"incorrect","R0_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial164mod.mp4","164_mirror",20,2245.69999980927,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial299mod.mp4","299_chase",21,1108.60000014305,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","chase","trial22mod.mp4","22_chase",22,1044.29999995232,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","chase","trial145mod.mp4","145_chase",23,465.799999952316,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","chase","trial133mod.mp4","133_chase",24,219.899999856949,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","mirror","trial247mod.mp4","247_mirror",25,0.100000143051147,0,"correct","R0_TTmirror"
"A1FDFJCZ4B5N9S","chase","trial65mod.mp4","65_chase",26,501.600000143051,1,"correct","R1_TTchase"
"A1FDFJCZ4B5N9S","chase","trial164mod.mp4","164_chase",27,1.40000009536743,1,"correct","R1_TTchase"
