"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1M3KGD9H8RTBH","mirror","trial193mod.mp4","193_mirror",1,2283,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial300mod.mp4","300_mirror",2,3352,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial137mod.mp4","137_mirror",3,2072,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial272mod.mp4","272_mirror",4,3534,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial80mod.mp4","80_mirror",5,5428,1,"incorrect","R1_TTmirror"
"A1M3KGD9H8RTBH","chase","trial193mod.mp4","193_chase",6,1849,0,"incorrect","R0_TTchase"
"A1M3KGD9H8RTBH","chase","trial272mod.mp4","272_chase",7,4979,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","chase","trial80mod.mp4","80_chase",8,5102,0,"incorrect","R0_TTchase"
"A1M3KGD9H8RTBH","chase","trial184mod.mp4","184_chase",9,4801,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","chase","trial300mod.mp4","300_chase",10,4694,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","chase","trial137mod.mp4","137_chase",11,4814,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","mirror","trial184mod.mp4","184_mirror",12,4713,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial82mod.mp4","82_mirror",13,4750,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","chase","trial132mod.mp4","132_chase",14,5010,0,"incorrect","R0_TTchase"
"A1M3KGD9H8RTBH","mirror","trial177mod.mp4","177_mirror",15,4901,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial119mod.mp4","119_mirror",16,5697,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial33mod.mp4","33_mirror",17,4886,1,"incorrect","R1_TTmirror"
"A1M3KGD9H8RTBH","chase","trial67mod.mp4","67_chase",18,4738,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","mirror","trial207mod.mp4","207_mirror",19,4821,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial34mod.mp4","34_mirror",20,4703,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","mirror","trial15mod.mp4","15_mirror",21,4817,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","chase","trial131mod.mp4","131_chase",22,4823,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","chase","trial48mod.mp4","48_chase",23,4985,0,"incorrect","R0_TTchase"
"A1M3KGD9H8RTBH","mirror","trial174mod.mp4","174_mirror",24,4881,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","chase","trial114mod.mp4","114_chase",25,4757,1,"correct","R1_TTchase"
"A1M3KGD9H8RTBH","mirror","trial5mod.mp4","5_mirror",26,4676,0,"correct","R0_TTmirror"
"A1M3KGD9H8RTBH","chase","trial195mod.mp4","195_chase",27,4768,1,"correct","R1_TTchase"
