"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1N8BW04V76ZSY","chase","trial253mod.mp4","253_chase",1,5497,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","chase","trial271mod.mp4","271_chase",2,4997,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial228mod.mp4","228_mirror",3,4728,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial33mod.mp4","33_mirror",4,4819,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial33mod.mp4","33_chase",5,5506,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial271mod.mp4","271_mirror",6,4953,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial138mod.mp4","138_chase",7,4649,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial253mod.mp4","253_mirror",8,4676,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial228mod.mp4","228_chase",9,4655,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial269mod.mp4","269_chase",10,4847,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial269mod.mp4","269_mirror",11,4678,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial138mod.mp4","138_mirror",12,4556,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial178mod.mp4","178_chase",13,4728,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial24mod.mp4","24_chase",14,4649,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial270mod.mp4","270_chase",15,4609,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial158mod.mp4","158_mirror",16,4923,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial219mod.mp4","219_chase",17,4695,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","chase","trial95mod.mp4","95_chase",18,4654,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial125mod.mp4","125_mirror",19,4653,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial145mod.mp4","145_mirror",20,5174,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial162mod.mp4","162_mirror",21,4582,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial229mod.mp4","229_chase",22,4771,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial28mod.mp4","28_mirror",23,4647,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial108mod.mp4","108_mirror",24,4735,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial106mod.mp4","106_chase",25,4558,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial153mod.mp4","153_chase",26,4570,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial85mod.mp4","85_chase",27,5070,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","chase","trial237mod.mp4","237_chase",28,4606,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial199mod.mp4","199_mirror",29,4737,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial292mod.mp4","292_chase",30,4690,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial79mod.mp4","79_mirror",31,4556,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial63mod.mp4","63_mirror",32,4629,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial212mod.mp4","212_mirror",33,4580,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial162mod.mp4","162_chase",34,4637,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial160mod.mp4","160_chase",35,4520,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial9mod.mp4","9_mirror",36,4641,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial145mod.mp4","145_chase",37,4711,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial107mod.mp4","107_mirror",38,4725,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial109mod.mp4","109_mirror",39,4850,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial189mod.mp4","189_chase",40,5055,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial267mod.mp4","267_chase",41,4655,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial297mod.mp4","297_chase",42,4639,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial36mod.mp4","36_chase",43,4556,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial186mod.mp4","186_chase",44,4647,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial150mod.mp4","150_chase",45,4708,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial232mod.mp4","232_mirror",46,4687,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial22mod.mp4","22_mirror",47,4753,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial124mod.mp4","124_mirror",48,4608,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial212mod.mp4","212_chase",49,4606,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial161mod.mp4","161_mirror",50,4717,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial148mod.mp4","148_mirror",51,4800,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial213mod.mp4","213_chase",52,4640,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial69mod.mp4","69_chase",53,4574,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial62mod.mp4","62_chase",54,4602,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial161mod.mp4","161_chase",55,4692,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial104mod.mp4","104_mirror",56,4755,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial150mod.mp4","150_mirror",57,4925,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial293mod.mp4","293_mirror",58,4635,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial165mod.mp4","165_mirror",59,5038,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial35mod.mp4","35_mirror",60,4926,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial40mod.mp4","40_mirror",61,4654,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial185mod.mp4","185_chase",62,4496,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial122mod.mp4","122_chase",63,4614,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial270mod.mp4","270_mirror",64,4683,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial213mod.mp4","213_mirror",65,4610,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial36mod.mp4","36_mirror",66,4783,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial237mod.mp4","237_mirror",67,4645,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial190mod.mp4","190_chase",68,4910,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial264mod.mp4","264_mirror",69,4545,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial146mod.mp4","146_chase",70,4581,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","chase","trial166mod.mp4","166_chase",71,4639,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial128mod.mp4","128_mirror",72,4607,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial79mod.mp4","79_chase",73,4884,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial200mod.mp4","200_chase",74,4537,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial294mod.mp4","294_mirror",75,4605,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial216mod.mp4","216_chase",76,4763,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial178mod.mp4","178_mirror",77,4607,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial28mod.mp4","28_chase",78,5586,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial80mod.mp4","80_chase",79,4914,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial69mod.mp4","69_mirror",80,4533,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial242mod.mp4","242_mirror",81,4617,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial158mod.mp4","158_chase",82,4647,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial267mod.mp4","267_mirror",83,4638,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial132mod.mp4","132_chase",84,4912,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial210mod.mp4","210_chase",85,4650,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial175mod.mp4","175_mirror",86,4868,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial294mod.mp4","294_chase",87,4558,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial5mod.mp4","5_chase",88,4542,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial261mod.mp4","261_chase",89,5050,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial115mod.mp4","115_mirror",90,4575,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial109mod.mp4","109_chase",91,4541,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial151mod.mp4","151_mirror",92,4713,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial1mod.mp4","1_mirror",93,4626,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial63mod.mp4","63_chase",94,4550,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial122mod.mp4","122_mirror",95,5406,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial287mod.mp4","287_chase",96,4619,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial185mod.mp4","185_mirror",97,4543,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial1mod.mp4","1_chase",98,4613,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial261mod.mp4","261_mirror",99,4797,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial187mod.mp4","187_mirror",100,5607,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial199mod.mp4","199_chase",101,5371,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial146mod.mp4","146_mirror",102,4686,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial18mod.mp4","18_chase",103,4554,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial139mod.mp4","139_mirror",104,4693,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial139mod.mp4","139_chase",105,4605,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial62mod.mp4","62_mirror",106,4582,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial168mod.mp4","168_mirror",107,4656,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial189mod.mp4","189_mirror",108,4732,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial292mod.mp4","292_mirror",109,4692,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial288mod.mp4","288_chase",110,5410,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial95mod.mp4","95_mirror",111,4636,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial4mod.mp4","4_chase",112,4536,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial115mod.mp4","115_chase",113,4836,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial166mod.mp4","166_mirror",114,5818,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial94mod.mp4","94_chase",115,4638,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial35mod.mp4","35_chase",116,4581,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial78mod.mp4","78_chase",117,4554,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial67mod.mp4","67_mirror",118,5065,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial143mod.mp4","143_chase",119,4514,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial232mod.mp4","232_chase",120,4776,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial281mod.mp4","281_mirror",121,4715,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","mirror","trial103mod.mp4","103_mirror",122,4621,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial135mod.mp4","135_chase",123,4587,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial103mod.mp4","103_chase",124,5130,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial209mod.mp4","209_chase",125,4692,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial183mod.mp4","183_mirror",126,4564,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial125mod.mp4","125_chase",127,4579,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial19mod.mp4","19_mirror",128,5058,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial168mod.mp4","168_chase",129,4561,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial153mod.mp4","153_mirror",130,4905,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial275mod.mp4","275_chase",131,5207,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","mirror","trial135mod.mp4","135_mirror",132,4651,1,"incorrect","R1_TTmirror"
"A1N8BW04V76ZSY","chase","trial215mod.mp4","215_chase",133,4804,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","chase","trial67mod.mp4","67_chase",134,5028,0,"incorrect","R0_TTchase"
"A1N8BW04V76ZSY","chase","trial165mod.mp4","165_chase",135,4590,1,"correct","R1_TTchase"
"A1N8BW04V76ZSY","mirror","trial24mod.mp4","24_mirror",136,5200,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","mirror","trial4mod.mp4","4_mirror",137,4772,0,"correct","R0_TTmirror"
"A1N8BW04V76ZSY","chase","trial148mod.mp4","148_chase",138,4587,0,"incorrect","R0_TTchase"
