"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1NFBKUYYVUYWF","mirror","trial96mod.mp4","96_mirror",1,3624.60000000894,1,"incorrect","R1_TTmirror"
"A1NFBKUYYVUYWF","mirror","trial126mod.mp4","126_mirror",2,2878.79999999702,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","mirror","trial246mod.mp4","246_mirror",3,3919.10000000894,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","chase","trial96mod.mp4","96_chase",4,3689.40000000596,0,"incorrect","R0_TTchase"
"A1NFBKUYYVUYWF","mirror","trial297mod.mp4","297_mirror",5,5431.39999999106,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","chase","trial126mod.mp4","126_chase",6,5265.40000000596,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","chase","trial297mod.mp4","297_chase",7,5102.70000000298,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","chase","trial246mod.mp4","246_chase",8,4713.70000000298,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","mirror","trial232mod.mp4","232_mirror",9,4587.89999999106,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","mirror","trial102mod.mp4","102_mirror",10,5096.20000000298,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","chase","trial102mod.mp4","102_chase",11,5236.90000000596,0,"incorrect","R0_TTchase"
"A1NFBKUYYVUYWF","chase","trial232mod.mp4","232_chase",12,4543.20000000298,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","chase","trial21mod.mp4","21_chase",13,4535.59999999404,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","chase","trial7mod.mp4","7_chase",14,4529.89999999106,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","mirror","trial184mod.mp4","184_mirror",15,4764.40000000596,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","chase","trial138mod.mp4","138_chase",16,4444.29999999702,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","mirror","trial142mod.mp4","142_mirror",17,6574.79999999702,1,"incorrect","R1_TTmirror"
"A1NFBKUYYVUYWF","chase","trial287mod.mp4","287_chase",18,4712.20000000298,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","chase","trial154mod.mp4","154_chase",19,4735.79999999702,1,"correct","R1_TTchase"
"A1NFBKUYYVUYWF","mirror","trial10mod.mp4","10_mirror",20,4711,0,"correct","R0_TTmirror"
"A1NFBKUYYVUYWF","mirror","trial210mod.mp4","210_mirror",21,4737.70000000298,0,"correct","R0_TTmirror"
