"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1OZPLHNIU1519","chase","trial146mod.mp4","146_chase",1,3651.60000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial180mod.mp4","180_mirror",2,4307.79999995232,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial22mod.mp4","22_chase",3,5130.79999995232,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial120mod.mp4","120_mirror",4,4640.39999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial120mod.mp4","120_chase",5,4751.70000004768,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial146mod.mp4","146_mirror",6,5157.5,1,"incorrect","R1_TTmirror"
"A1OZPLHNIU1519","mirror","trial263mod.mp4","263_mirror",7,4720.69999992847,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial263mod.mp4","263_chase",8,4803.89999997616,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial22mod.mp4","22_mirror",9,4642.20000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial143mod.mp4","143_chase",10,4238.10000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial180mod.mp4","180_chase",11,4626.10000002384,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial143mod.mp4","143_mirror",12,4451.89999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial125mod.mp4","125_chase",13,4379.89999997616,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial5mod.mp4","5_mirror",14,4612.70000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial196mod.mp4","196_chase",15,4515.29999995232,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial179mod.mp4","179_chase",16,4620.79999995232,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial298mod.mp4","298_mirror",17,4782.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial135mod.mp4","135_mirror",18,4757.39999997616,1,"incorrect","R1_TTmirror"
"A1OZPLHNIU1519","chase","trial106mod.mp4","106_chase",19,4717.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial251mod.mp4","251_chase",20,4543.39999997616,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial191mod.mp4","191_mirror",21,4609.29999995232,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial140mod.mp4","140_chase",22,4425.20000004768,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial212mod.mp4","212_chase",23,4899.10000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial229mod.mp4","229_chase",24,4514.79999995232,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial283mod.mp4","283_mirror",25,4502,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial299mod.mp4","299_chase",26,4375.10000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial207mod.mp4","207_mirror",27,4482.30000007153,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial200mod.mp4","200_chase",28,4659.69999992847,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial298mod.mp4","298_chase",29,4796.79999995232,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial218mod.mp4","218_chase",30,4598.10000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial122mod.mp4","122_mirror",31,4701.10000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial35mod.mp4","35_mirror",32,4423.79999995232,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial267mod.mp4","267_chase",33,4699.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial137mod.mp4","137_mirror",34,4502.69999992847,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial163mod.mp4","163_chase",35,4362,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial132mod.mp4","132_chase",36,5526.69999992847,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial60mod.mp4","60_chase",37,5865.70000004768,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial174mod.mp4","174_chase",38,4559.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial286mod.mp4","286_chase",39,4470.5,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial74mod.mp4","74_mirror",40,4464.29999995232,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial237mod.mp4","237_mirror",41,4588.59999990463,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial190mod.mp4","190_chase",42,4358.10000002384,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial156mod.mp4","156_chase",43,4637.89999997616,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial296mod.mp4","296_mirror",44,4655,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial249mod.mp4","249_chase",45,4445.19999992847,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial23mod.mp4","23_chase",46,4441,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial268mod.mp4","268_chase",47,4735.89999997616,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial218mod.mp4","218_mirror",48,4636.89999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial191mod.mp4","191_chase",49,4481.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial285mod.mp4","285_chase",50,4720.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial139mod.mp4","139_chase",51,4356.89999997616,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial155mod.mp4","155_mirror",52,4467.39999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial241mod.mp4","241_mirror",53,4377.80000007153,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial106mod.mp4","106_mirror",54,4792.10000002384,1,"incorrect","R1_TTmirror"
"A1OZPLHNIU1519","chase","trial98mod.mp4","98_chase",55,4981.70000004768,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial30mod.mp4","30_chase",56,4745.80000007153,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial299mod.mp4","299_mirror",57,4570.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial210mod.mp4","210_mirror",58,4372.70000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial83mod.mp4","83_chase",59,4423,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial86mod.mp4","86_mirror",60,4638.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial137mod.mp4","137_chase",61,5134.29999995232,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial131mod.mp4","131_chase",62,4579.19999992847,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial74mod.mp4","74_chase",63,5526.20000004768,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial203mod.mp4","203_mirror",64,4435.80000007153,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial203mod.mp4","203_chase",65,4520.10000002384,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial24mod.mp4","24_chase",66,4671.59999990463,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial212mod.mp4","212_mirror",67,4434.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial176mod.mp4","176_chase",68,4731,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial290mod.mp4","290_mirror",69,4406,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial90mod.mp4","90_mirror",70,4423.20000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial166mod.mp4","166_chase",71,4456.40000009537,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial202mod.mp4","202_mirror",72,4497.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial241mod.mp4","241_chase",73,4456.80000007153,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial80mod.mp4","80_mirror",74,4374.39999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial257mod.mp4","257_mirror",75,4493.70000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial163mod.mp4","163_mirror",76,5071.5,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial237mod.mp4","237_chase",77,4506.5,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","mirror","trial229mod.mp4","229_mirror",78,4910.60000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial249mod.mp4","249_mirror",79,4631.30000007153,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial282mod.mp4","282_mirror",80,4449.70000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial92mod.mp4","92_mirror",81,4461.5,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial294mod.mp4","294_chase",82,5426.19999992847,1,"correct","R1_TTchase"
"A1OZPLHNIU1519","chase","trial33mod.mp4","33_chase",83,4531.5,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","chase","trial155mod.mp4","155_chase",84,4407,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial181mod.mp4","181_mirror",85,4703.39999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","chase","trial226mod.mp4","226_chase",86,4511.39999997616,0,"incorrect","R0_TTchase"
"A1OZPLHNIU1519","mirror","trial294mod.mp4","294_mirror",87,4495.89999997616,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial226mod.mp4","226_mirror",88,4741.10000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial125mod.mp4","125_mirror",89,4645.10000002384,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial200mod.mp4","200_mirror",90,4466.29999995232,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial176mod.mp4","176_mirror",91,4487.20000004768,0,"correct","R0_TTmirror"
"A1OZPLHNIU1519","mirror","trial81mod.mp4","81_mirror",92,4920.89999997616,0,"correct","R0_TTmirror"
