"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1PBFDQR599N3K","mirror","trial153mod.mp4","153_mirror",1,724,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial88mod.mp4","88_mirror",2,3206.39999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial102mod.mp4","102_mirror",3,3458.70000004768,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial153mod.mp4","153_chase",4,4155.59999990463,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial272mod.mp4","272_mirror",5,4860.80000007153,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial139mod.mp4","139_chase",6,2407.19999992847,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial272mod.mp4","272_chase",7,2210.60000002384,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial1mod.mp4","1_mirror",8,2473,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial139mod.mp4","139_mirror",9,3901.80000007153,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial1mod.mp4","1_chase",10,3836.59999990463,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial88mod.mp4","88_chase",11,2821.39999997616,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial102mod.mp4","102_chase",12,3207.29999995232,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial31mod.mp4","31_chase",13,1104.39999997616,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial268mod.mp4","268_chase",14,1672.5,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial250mod.mp4","250_mirror",15,1854.39999997616,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial70mod.mp4","70_chase",16,1702,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial134mod.mp4","134_mirror",17,2480,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial215mod.mp4","215_chase",18,3160.79999995232,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial260mod.mp4","260_mirror",19,4373.60000002384,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial172mod.mp4","172_chase",20,2180.5,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial282mod.mp4","282_chase",21,3161.70000004768,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial17mod.mp4","17_mirror",22,1690.5,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial197mod.mp4","197_chase",23,2157.30000007153,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial281mod.mp4","281_chase",24,4657.09999990463,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial264mod.mp4","264_mirror",25,4905.80000007153,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial17mod.mp4","17_chase",26,3427.60000002384,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial24mod.mp4","24_mirror",27,2794.5,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial27mod.mp4","27_chase",28,4048,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial120mod.mp4","120_mirror",29,1773.39999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial37mod.mp4","37_chase",30,3530.59999990463,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial81mod.mp4","81_mirror",31,4325.29999995232,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial292mod.mp4","292_mirror",32,2614.29999995232,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial36mod.mp4","36_mirror",33,1497.79999995232,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial203mod.mp4","203_mirror",34,3265.89999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial291mod.mp4","291_mirror",35,4278.60000002384,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial87mod.mp4","87_chase",36,1863.5,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial37mod.mp4","37_mirror",37,4069.19999992847,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial122mod.mp4","122_mirror",38,1976,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial97mod.mp4","97_chase",39,2234.29999995232,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial255mod.mp4","255_mirror",40,1965.29999995232,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial231mod.mp4","231_mirror",41,1929.69999992847,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial248mod.mp4","248_mirror",42,3167.39999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial97mod.mp4","97_mirror",43,2279,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial70mod.mp4","70_mirror",44,2097.5,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial119mod.mp4","119_mirror",45,2740.69999992847,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial35mod.mp4","35_mirror",46,2898.60000002384,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial182mod.mp4","182_chase",47,1966.69999992847,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial103mod.mp4","103_chase",48,1519.29999995232,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial121mod.mp4","121_mirror",49,1676.5,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial204mod.mp4","204_chase",50,2398.80000007153,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","chase","trial28mod.mp4","28_chase",51,2150,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial5mod.mp4","5_mirror",52,2122.39999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial14mod.mp4","14_chase",53,2031.19999992847,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial164mod.mp4","164_mirror",54,3422.70000004768,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial50mod.mp4","50_chase",55,2256,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial213mod.mp4","213_mirror",56,2329.60000002384,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial117mod.mp4","117_chase",57,1641.60000002384,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial205mod.mp4","205_chase",58,1153.09999990463,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial46mod.mp4","46_chase",59,1777.89999997616,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","chase","trial181mod.mp4","181_chase",60,1659.79999995232,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial299mod.mp4","299_mirror",61,3024.60000002384,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial190mod.mp4","190_mirror",62,3079.20000004768,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial2mod.mp4","2_chase",63,1157.20000004768,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial2mod.mp4","2_mirror",64,2362.69999992847,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial196mod.mp4","196_mirror",65,2206,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial212mod.mp4","212_mirror",66,1886.79999995232,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial59mod.mp4","59_mirror",67,2536.60000002384,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial186mod.mp4","186_chase",68,2256,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","chase","trial56mod.mp4","56_chase",69,2260.60000002384,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial210mod.mp4","210_mirror",70,2585.89999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial8mod.mp4","8_chase",71,1848.90000009537,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","chase","trial277mod.mp4","277_chase",72,1924.69999992847,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial246mod.mp4","246_mirror",73,2363.29999995232,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial23mod.mp4","23_chase",74,1255.60000002384,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial197mod.mp4","197_mirror",75,1685.5,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial296mod.mp4","296_mirror",76,1235.09999990463,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial184mod.mp4","184_chase",77,1103.89999997616,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial170mod.mp4","170_mirror",78,1441.10000002384,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","chase","trial258mod.mp4","258_chase",79,1985.5,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial49mod.mp4","49_mirror",80,2412.60000002384,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial184mod.mp4","184_mirror",81,2955,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","mirror","trial87mod.mp4","87_mirror",82,3158.10000002384,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial7mod.mp4","7_chase",83,1268.30000007153,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","chase","trial222mod.mp4","222_chase",84,1925,0,"incorrect","R0_TTchase"
"A1PBFDQR599N3K","mirror","trial268mod.mp4","268_mirror",85,3304.39999997616,0,"correct","R0_TTmirror"
"A1PBFDQR599N3K","chase","trial120mod.mp4","120_chase",86,2025.89999997616,1,"correct","R1_TTchase"
"A1PBFDQR599N3K","mirror","trial117mod.mp4","117_mirror",87,1530.39999997616,1,"incorrect","R1_TTmirror"
"A1PBFDQR599N3K","mirror","trial31mod.mp4","31_mirror",88,1732,0,"correct","R0_TTmirror"
