"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1Q6VY3C3CEOA0","mirror","trial103mod.mp4","103_mirror",1,4803.39999997616,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","chase","trial40mod.mp4","40_chase",2,5617.19999998808,0,"incorrect","R0_TTchase"
"A1Q6VY3C3CEOA0","chase","trial103mod.mp4","103_chase",3,5178.19999998808,0,"incorrect","R0_TTchase"
"A1Q6VY3C3CEOA0","mirror","trial40mod.mp4","40_mirror",4,5008.10000002384,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial228mod.mp4","228_mirror",5,5441.39999997616,1,"incorrect","R1_TTmirror"
"A1Q6VY3C3CEOA0","chase","trial228mod.mp4","228_chase",6,4469,1,"correct","R1_TTchase"
"A1Q6VY3C3CEOA0","chase","trial54mod.mp4","54_chase",7,4529.80000001192,0,"incorrect","R0_TTchase"
"A1Q6VY3C3CEOA0","chase","trial46mod.mp4","46_chase",8,4796.10000002384,1,"correct","R1_TTchase"
"A1Q6VY3C3CEOA0","mirror","trial46mod.mp4","46_mirror",9,4784.19999998808,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial54mod.mp4","54_mirror",10,4638.5,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","chase","trial256mod.mp4","256_chase",11,4440.19999998808,1,"correct","R1_TTchase"
"A1Q6VY3C3CEOA0","mirror","trial256mod.mp4","256_mirror",12,4579.40000003576,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial200mod.mp4","200_mirror",13,4825.19999998808,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial29mod.mp4","29_mirror",14,4817.69999998808,1,"incorrect","R1_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial18mod.mp4","18_mirror",15,4587,0,"correct","R0_TTmirror"
"A1Q6VY3C3CEOA0","mirror","trial176mod.mp4","176_mirror",16,4693.60000002384,0,"correct","R0_TTmirror"
