"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1S56RBP0Q3BT","mirror","trial70mod.mp4","70_mirror",1,2878,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial166mod.mp4","166_mirror",2,1569,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","chase","trial166mod.mp4","166_chase",3,1147,0,"incorrect","R0_TTchase"
"A1S56RBP0Q3BT","chase","trial162mod.mp4","162_chase",4,2933,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","mirror","trial162mod.mp4","162_mirror",5,1256,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","chase","trial70mod.mp4","70_chase",6,1932,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","mirror","trial283mod.mp4","283_mirror",7,1574,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial281mod.mp4","281_mirror",8,1536,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial86mod.mp4","86_mirror",9,1812,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","chase","trial86mod.mp4","86_chase",10,3350,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","chase","trial283mod.mp4","283_chase",11,1854,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","chase","trial281mod.mp4","281_chase",12,1698,0,"incorrect","R0_TTchase"
"A1S56RBP0Q3BT","chase","trial159mod.mp4","159_chase",13,1980,0,"incorrect","R0_TTchase"
"A1S56RBP0Q3BT","mirror","trial187mod.mp4","187_mirror",14,1703,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","chase","trial231mod.mp4","231_chase",15,2151,0,"incorrect","R0_TTchase"
"A1S56RBP0Q3BT","mirror","trial126mod.mp4","126_mirror",16,1465,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","mirror","trial121mod.mp4","121_mirror",17,1986,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial61mod.mp4","61_mirror",18,1604,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","mirror","trial244mod.mp4","244_mirror",19,1802,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial28mod.mp4","28_mirror",20,1920,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial258mod.mp4","258_mirror",21,2133,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial134mod.mp4","134_mirror",22,1482,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","chase","trial289mod.mp4","289_chase",23,1681,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","chase","trial165mod.mp4","165_chase",24,1407,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","chase","trial225mod.mp4","225_chase",25,1564,1,"correct","R1_TTchase"
"A1S56RBP0Q3BT","mirror","trial32mod.mp4","32_mirror",26,2011,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","mirror","trial289mod.mp4","289_mirror",27,1391,0,"correct","R0_TTmirror"
"A1S56RBP0Q3BT","mirror","trial18mod.mp4","18_mirror",28,1542,1,"incorrect","R1_TTmirror"
"A1S56RBP0Q3BT","chase","trial171mod.mp4","171_chase",29,1984,0,"incorrect","R0_TTchase"
