"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1UNBT94I82S8V","mirror","trial81mod.mp4","81_mirror",1,1087.19999999925,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial81mod.mp4","81_chase",2,4958.90000000037,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial29mod.mp4","29_chase",3,4895.90000000037,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial243mod.mp4","243_chase",4,4505.80000000075,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial68mod.mp4","68_mirror",5,4365.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial35mod.mp4","35_chase",6,5031.40000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial66mod.mp4","66_chase",7,4893.40000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial243mod.mp4","243_mirror",8,4559.79999999888,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial68mod.mp4","68_chase",9,4893.80000000075,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial35mod.mp4","35_mirror",10,4547.60000000149,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial29mod.mp4","29_mirror",11,4913.40000000037,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","mirror","trial66mod.mp4","66_mirror",12,4306.70000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial285mod.mp4","285_mirror",13,4562.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial287mod.mp4","287_chase",14,4623.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial69mod.mp4","69_mirror",15,4863.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial40mod.mp4","40_chase",16,4790.30000000075,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial63mod.mp4","63_mirror",17,4667.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial228mod.mp4","228_mirror",18,4707.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial83mod.mp4","83_chase",19,4749.20000000112,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial193mod.mp4","193_mirror",20,4569.79999999888,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial123mod.mp4","123_chase",21,4370.19999999925,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial54mod.mp4","54_mirror",22,4711.80000000075,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial253mod.mp4","253_chase",23,4423,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial143mod.mp4","143_chase",24,4713.89999999851,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial5mod.mp4","5_chase",25,4637.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial11mod.mp4","11_mirror",26,4434.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial219mod.mp4","219_chase",27,4399.79999999888,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial6mod.mp4","6_chase",28,4894.90000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial231mod.mp4","231_chase",29,4425.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial204mod.mp4","204_chase",30,5035.69999999925,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial279mod.mp4","279_mirror",31,5051.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial264mod.mp4","264_mirror",32,4669.79999999888,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial125mod.mp4","125_chase",33,4453.60000000149,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial24mod.mp4","24_chase",34,4448,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial133mod.mp4","133_mirror",35,4733.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial84mod.mp4","84_chase",36,4495.20000000112,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial221mod.mp4","221_mirror",37,4647.70000000112,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial22mod.mp4","22_chase",38,4460.09999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial174mod.mp4","174_mirror",39,4662,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial200mod.mp4","200_chase",40,5118.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial73mod.mp4","73_chase",41,4634.20000000112,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial230mod.mp4","230_chase",42,4689.40000000037,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial140mod.mp4","140_mirror",43,4380.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial198mod.mp4","198_chase",44,4760,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial281mod.mp4","281_mirror",45,4853.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial133mod.mp4","133_chase",46,4630,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial94mod.mp4","94_chase",47,4426.60000000149,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial283mod.mp4","283_chase",48,4682.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial157mod.mp4","157_chase",49,4972.90000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial55mod.mp4","55_chase",50,5050.90000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial31mod.mp4","31_mirror",51,5072.59999999963,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","mirror","trial271mod.mp4","271_mirror",52,4359,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial186mod.mp4","186_mirror",53,4726.70000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial123mod.mp4","123_mirror",54,4678.59999999963,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial16mod.mp4","16_chase",55,4552.09999999963,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial297mod.mp4","297_chase",56,4661,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial227mod.mp4","227_mirror",57,4748.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial248mod.mp4","248_chase",58,4505.59999999963,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial176mod.mp4","176_chase",59,5236.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial287mod.mp4","287_mirror",60,4946.39999999851,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial116mod.mp4","116_mirror",61,4825.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial57mod.mp4","57_chase",62,5090.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial69mod.mp4","69_chase",63,4925,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial247mod.mp4","247_mirror",64,5066.89999999851,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial5mod.mp4","5_mirror",65,4542.69999999925,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial230mod.mp4","230_mirror",66,4353.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial193mod.mp4","193_chase",67,4546.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial203mod.mp4","203_chase",68,4792.40000000037,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial281mod.mp4","281_chase",69,4666.39999999851,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial262mod.mp4","262_mirror",70,4728.30000000075,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial89mod.mp4","89_mirror",71,4710.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial145mod.mp4","145_chase",72,4698.59999999963,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial125mod.mp4","125_mirror",73,4644.10000000149,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial159mod.mp4","159_mirror",74,4776.30000000075,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial113mod.mp4","113_chase",75,4609,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial1mod.mp4","1_mirror",76,4911.09999999963,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial277mod.mp4","277_mirror",77,4779.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial108mod.mp4","108_mirror",78,4713.30000000075,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial22mod.mp4","22_mirror",79,4664.69999999925,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial157mod.mp4","157_mirror",80,4718.19999999925,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial186mod.mp4","186_chase",81,4995.70000000112,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial140mod.mp4","140_chase",82,4396.70000000112,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial247mod.mp4","247_chase",83,4527,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial89mod.mp4","89_chase",84,4682.5,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial113mod.mp4","113_mirror",85,4439.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial292mod.mp4","292_chase",86,4911.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial297mod.mp4","297_mirror",87,4683,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial67mod.mp4","67_chase",88,4692.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial67mod.mp4","67_mirror",89,4695.69999999925,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial275mod.mp4","275_chase",90,4640.70000000112,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial107mod.mp4","107_chase",91,4684.69999999925,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial13mod.mp4","13_mirror",92,4677.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial23mod.mp4","23_chase",93,4832.09999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial156mod.mp4","156_chase",94,4607,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial221mod.mp4","221_chase",95,3293.30000000075,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial73mod.mp4","73_mirror",96,4633.69999999925,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","mirror","trial156mod.mp4","156_mirror",97,4424,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial202mod.mp4","202_chase",98,4708.29999999888,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial9mod.mp4","9_mirror",99,4630.79999999888,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial263mod.mp4","263_chase",100,4354.89999999851,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial172mod.mp4","172_chase",101,4528.80000000075,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial6mod.mp4","6_mirror",102,4385.90000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial12mod.mp4","12_mirror",103,4515.09999999963,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial93mod.mp4","93_chase",104,4590.40000000037,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial136mod.mp4","136_chase",105,4588.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial82mod.mp4","82_chase",106,4574.59999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial11mod.mp4","11_chase",107,4749.80000000075,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial33mod.mp4","33_chase",108,4758.19999999925,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial275mod.mp4","275_mirror",109,4276.19999999925,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial33mod.mp4","33_mirror",110,4323.59999999963,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial2mod.mp4","2_chase",111,4316.5,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","chase","trial189mod.mp4","189_chase",112,4338.09999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial145mod.mp4","145_mirror",113,4370.30000000075,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial107mod.mp4","107_mirror",114,4387.90000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial110mod.mp4","110_mirror",115,4691.20000000112,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","mirror","trial24mod.mp4","24_mirror",116,4392.69999999925,1,"incorrect","R1_TTmirror"
"A1UNBT94I82S8V","chase","trial270mod.mp4","270_chase",117,4663.59999999963,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","chase","trial166mod.mp4","166_chase",118,4703.09999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial254mod.mp4","254_mirror",119,4539.40000000037,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial265mod.mp4","265_chase",120,4431.09999999963,0,"incorrect","R0_TTchase"
"A1UNBT94I82S8V","mirror","trial200mod.mp4","200_mirror",121,4702.19999999925,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial42mod.mp4","42_chase",122,4320.59999999963,1,"correct","R1_TTchase"
"A1UNBT94I82S8V","mirror","trial90mod.mp4","90_mirror",123,4327.5,0,"correct","R0_TTmirror"
"A1UNBT94I82S8V","chase","trial110mod.mp4","110_chase",124,4308.5,0,"incorrect","R0_TTchase"
