"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1WJGO38GJ99ZS","chase","trial170mod.mp4","170_chase",1,5676.70000004768,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial161mod.mp4","161_mirror",2,4769.90000009537,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial68mod.mp4","68_chase",3,3782.29999995232,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial230mod.mp4","230_mirror",4,3528.79999995232,1,"incorrect","R1_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial194mod.mp4","194_mirror",5,4857,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial161mod.mp4","161_chase",6,3995.69999980927,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial13mod.mp4","13_mirror",7,3969.20000004768,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial230mod.mp4","230_chase",8,3331.29999995232,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","chase","trial13mod.mp4","13_chase",9,2032.5,0,"incorrect","R0_TTchase"
"A1WJGO38GJ99ZS","mirror","trial68mod.mp4","68_mirror",10,4455.69999980927,1,"incorrect","R1_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial170mod.mp4","170_mirror",11,3526.20000004768,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial194mod.mp4","194_chase",12,2585.10000014305,0,"incorrect","R0_TTchase"
"A1WJGO38GJ99ZS","chase","trial216mod.mp4","216_chase",13,2745.39999985695,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial231mod.mp4","231_mirror",14,4417.5,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial136mod.mp4","136_mirror",15,4611.60000014305,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial112mod.mp4","112_mirror",16,4449.30000019073,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial53mod.mp4","53_chase",17,4793,0,"incorrect","R0_TTchase"
"A1WJGO38GJ99ZS","mirror","trial205mod.mp4","205_mirror",18,2413,1,"incorrect","R1_TTmirror"
"A1WJGO38GJ99ZS","chase","trial248mod.mp4","248_chase",19,3601.69999980927,0,"incorrect","R0_TTchase"
"A1WJGO38GJ99ZS","mirror","trial80mod.mp4","80_mirror",20,4459.29999995232,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial182mod.mp4","182_mirror",21,4572.79999995232,1,"incorrect","R1_TTmirror"
"A1WJGO38GJ99ZS","chase","trial177mod.mp4","177_chase",22,4682.29999995232,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial202mod.mp4","202_mirror",23,5271.09999990463,1,"incorrect","R1_TTmirror"
"A1WJGO38GJ99ZS","mirror","trial64mod.mp4","64_mirror",24,4489.89999985695,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial93mod.mp4","93_chase",25,3870.20000004768,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","mirror","trial162mod.mp4","162_mirror",26,4517.60000014305,0,"correct","R0_TTmirror"
"A1WJGO38GJ99ZS","chase","trial263mod.mp4","263_chase",27,3248.29999995232,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","chase","trial136mod.mp4","136_chase",28,3442.70000004768,1,"correct","R1_TTchase"
"A1WJGO38GJ99ZS","chase","trial77mod.mp4","77_chase",29,2751.70000004768,1,"correct","R1_TTchase"
