"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A1WQACYPLESVGL","chase","trial43mod.mp4","43_chase",1,1843,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial115mod.mp4","115_mirror",2,636,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial125mod.mp4","125_mirror",3,886,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial18mod.mp4","18_mirror",4,1352,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial36mod.mp4","36_chase",5,1746,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","mirror","trial123mod.mp4","123_mirror",6,1693,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","chase","trial115mod.mp4","115_chase",7,2086,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial36mod.mp4","36_mirror",8,1474,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial43mod.mp4","43_mirror",9,1324,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial18mod.mp4","18_chase",10,1862,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial125mod.mp4","125_chase",11,2587,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial123mod.mp4","123_chase",12,1548,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial65mod.mp4","65_mirror",13,2424,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial16mod.mp4","16_mirror",14,1570,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial291mod.mp4","291_chase",15,2069,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial152mod.mp4","152_chase",16,2126,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial281mod.mp4","281_chase",17,3801,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial50mod.mp4","50_mirror",18,4405,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","chase","trial181mod.mp4","181_chase",19,3410,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial99mod.mp4","99_chase",20,3983,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","mirror","trial58mod.mp4","58_mirror",21,2564,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial5mod.mp4","5_mirror",22,1913,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial240mod.mp4","240_mirror",23,4300,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial133mod.mp4","133_mirror",24,5011,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial119mod.mp4","119_mirror",25,3489,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial52mod.mp4","52_chase",26,2072,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial246mod.mp4","246_chase",27,4444,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial19mod.mp4","19_chase",28,1604,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial110mod.mp4","110_mirror",29,2389,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial139mod.mp4","139_mirror",30,2581,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial73mod.mp4","73_chase",31,3332,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial225mod.mp4","225_chase",32,1989,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial300mod.mp4","300_chase",33,3632,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial88mod.mp4","88_chase",34,4750,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial155mod.mp4","155_chase",35,4618,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial204mod.mp4","204_chase",36,3344,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial261mod.mp4","261_chase",37,2532,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial94mod.mp4","94_chase",38,3888,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial19mod.mp4","19_mirror",39,2061,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial286mod.mp4","286_chase",40,3938,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","mirror","trial202mod.mp4","202_mirror",41,4581,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial104mod.mp4","104_mirror",42,2872,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","mirror","trial152mod.mp4","152_mirror",43,3315,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial46mod.mp4","46_chase",44,2836,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial16mod.mp4","16_chase",45,1952,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","chase","trial51mod.mp4","51_chase",46,3506,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial286mod.mp4","286_mirror",47,4766,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial176mod.mp4","176_mirror",48,4616,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial149mod.mp4","149_mirror",49,2174,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial261mod.mp4","261_mirror",50,6042,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial101mod.mp4","101_mirror",51,4026,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial135mod.mp4","135_mirror",52,4551,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial269mod.mp4","269_mirror",53,4492,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial281mod.mp4","281_mirror",54,5150,1,"incorrect","R1_TTmirror"
"A1WQACYPLESVGL","chase","trial103mod.mp4","103_chase",55,4686,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial5mod.mp4","5_chase",56,4905,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial285mod.mp4","285_mirror",57,4647,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial73mod.mp4","73_mirror",58,17022,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","chase","trial255mod.mp4","255_chase",59,4354,1,"correct","R1_TTchase"
"A1WQACYPLESVGL","mirror","trial88mod.mp4","88_mirror",60,4464,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","chase","trial269mod.mp4","269_chase",61,4756,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","chase","trial118mod.mp4","118_chase",62,4700,0,"incorrect","R0_TTchase"
"A1WQACYPLESVGL","mirror","trial300mod.mp4","300_mirror",63,4430,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","mirror","trial134mod.mp4","134_mirror",64,4446,0,"correct","R0_TTmirror"
"A1WQACYPLESVGL","chase","trial117mod.mp4","117_chase",65,2522,1,"correct","R1_TTchase"
