"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A20XDCBFKG4TEE","mirror","trial145mod.mp4","145_mirror",1,10204.7999999523,0,"correct","R0_TTmirror"
"A20XDCBFKG4TEE","mirror","trial32mod.mp4","32_mirror",2,4691.39999997616,0,"correct","R0_TTmirror"
"A20XDCBFKG4TEE","chase","trial145mod.mp4","145_chase",3,4595.89999997616,0,"incorrect","R0_TTchase"
"A20XDCBFKG4TEE","mirror","trial72mod.mp4","72_mirror",4,4666.29999995232,1,"incorrect","R1_TTmirror"
"A20XDCBFKG4TEE","chase","trial32mod.mp4","32_chase",5,4544.70000004768,0,"incorrect","R0_TTchase"
"A20XDCBFKG4TEE","chase","trial72mod.mp4","72_chase",6,4980.60000002384,1,"correct","R1_TTchase"
"A20XDCBFKG4TEE","chase","trial241mod.mp4","241_chase",7,4855.39999997616,1,"correct","R1_TTchase"
"A20XDCBFKG4TEE","mirror","trial105mod.mp4","105_mirror",8,4692.60000002384,0,"correct","R0_TTmirror"
"A20XDCBFKG4TEE","mirror","trial241mod.mp4","241_mirror",9,4727.79999995232,1,"incorrect","R1_TTmirror"
"A20XDCBFKG4TEE","mirror","trial14mod.mp4","14_mirror",10,4922.79999995232,1,"incorrect","R1_TTmirror"
"A20XDCBFKG4TEE","chase","trial105mod.mp4","105_chase",11,4482,1,"correct","R1_TTchase"
"A20XDCBFKG4TEE","chase","trial14mod.mp4","14_chase",12,4345.5,1,"correct","R1_TTchase"
"A20XDCBFKG4TEE","mirror","trial249mod.mp4","249_mirror",13,4536.10000002384,1,"incorrect","R1_TTmirror"
"A20XDCBFKG4TEE","chase","trial85mod.mp4","85_chase",14,4481.29999995232,1,"correct","R1_TTchase"
"A20XDCBFKG4TEE","mirror","trial274mod.mp4","274_mirror",15,4407,1,"incorrect","R1_TTmirror"
"A20XDCBFKG4TEE","mirror","trial22mod.mp4","22_mirror",16,4598.10000002384,0,"correct","R0_TTmirror"
"A20XDCBFKG4TEE","mirror","trial210mod.mp4","210_mirror",17,4739.39999997616,0,"correct","R0_TTmirror"
