"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A25FH7PXC446RG","chase","trial211mod.mp4","211_chase",1,1741.09999990463,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial178mod.mp4","178_chase",2,1259.39999985695,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial66mod.mp4","66_chase",3,1060,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial148mod.mp4","148_chase",4,907.5,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial13mod.mp4","13_mirror",5,1095.29999995232,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial148mod.mp4","148_mirror",6,1652.5,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial66mod.mp4","66_mirror",7,1037.70000004768,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","mirror","trial140mod.mp4","140_mirror",8,1761.10000014305,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","mirror","trial211mod.mp4","211_mirror",9,2336.59999990463,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial13mod.mp4","13_chase",10,1175.90000009537,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial140mod.mp4","140_chase",11,1130.29999995232,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial178mod.mp4","178_mirror",12,1282,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","chase","trial145mod.mp4","145_chase",13,2257,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial156mod.mp4","156_chase",14,2950.10000014305,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial4mod.mp4","4_chase",15,4240.70000004768,0,"incorrect","R0_TTchase"
"A25FH7PXC446RG","chase","trial26mod.mp4","26_chase",16,1441,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial79mod.mp4","79_mirror",17,1828.10000014305,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial215mod.mp4","215_chase",18,2282.10000014305,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial159mod.mp4","159_mirror",19,1988.69999980927,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial121mod.mp4","121_mirror",20,2207.90000009537,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","chase","trial254mod.mp4","254_chase",21,1967.29999995232,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial289mod.mp4","289_mirror",22,1810.79999995232,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","mirror","trial258mod.mp4","258_mirror",23,1643.29999995232,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial192mod.mp4","192_chase",24,2236.30000019073,1,"correct","R1_TTchase"
"A25FH7PXC446RG","chase","trial293mod.mp4","293_chase",25,1926.29999995232,0,"incorrect","R0_TTchase"
"A25FH7PXC446RG","mirror","trial153mod.mp4","153_mirror",26,1859.10000014305,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","mirror","trial40mod.mp4","40_mirror",27,1382.79999995232,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial61mod.mp4","61_mirror",28,1569.79999995232,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial124mod.mp4","124_chase",29,2006.39999985695,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial241mod.mp4","241_mirror",30,2410.70000004768,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial271mod.mp4","271_mirror",31,2206.39999985695,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial203mod.mp4","203_mirror",32,2009.39999985695,1,"incorrect","R1_TTmirror"
"A25FH7PXC446RG","mirror","trial16mod.mp4","16_mirror",33,1295.5,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial147mod.mp4","147_chase",34,1603.29999995232,0,"incorrect","R0_TTchase"
"A25FH7PXC446RG","mirror","trial104mod.mp4","104_mirror",35,1862.30000019073,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial258mod.mp4","258_chase",36,1360.40000009537,1,"correct","R1_TTchase"
"A25FH7PXC446RG","mirror","trial216mod.mp4","216_mirror",37,1874.40000009537,0,"correct","R0_TTmirror"
"A25FH7PXC446RG","chase","trial27mod.mp4","27_chase",38,2136.70000004768,0,"incorrect","R0_TTchase"
