"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A26NGLGGFTATVN","mirror","trial21mod.mp4","21_mirror",1,4737.89999997616,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial213mod.mp4","213_chase",2,2853.19999998808,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial3mod.mp4","3_mirror",3,2129.90000003576,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial188mod.mp4","188_chase",4,2502.59999996424,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial222mod.mp4","222_mirror",5,1333,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","mirror","trial213mod.mp4","213_mirror",6,1905.80000001192,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial190mod.mp4","190_chase",7,2063.10000002384,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial190mod.mp4","190_mirror",8,1130.60000002384,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial222mod.mp4","222_chase",9,1358,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial21mod.mp4","21_chase",10,1164.30000001192,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial188mod.mp4","188_mirror",11,849.399999976158,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial3mod.mp4","3_chase",12,1142.5,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial254mod.mp4","254_mirror",13,1383.80000001192,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial182mod.mp4","182_chase",14,1216.30000001192,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial149mod.mp4","149_mirror",15,1308.60000002384,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial201mod.mp4","201_chase",16,1054.60000002384,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial174mod.mp4","174_mirror",17,818.699999988079,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","mirror","trial237mod.mp4","237_mirror",18,1755.79999995232,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial241mod.mp4","241_chase",19,839.299999952316,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial236mod.mp4","236_mirror",20,1109.80000001192,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","mirror","trial248mod.mp4","248_mirror",21,750.199999988079,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial156mod.mp4","156_chase",22,3397.30000001192,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial215mod.mp4","215_mirror",23,1268.69999998808,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","mirror","trial143mod.mp4","143_mirror",24,1721.19999998808,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial14mod.mp4","14_chase",25,1365.39999997616,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial90mod.mp4","90_chase",26,1141.09999996424,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial157mod.mp4","157_mirror",27,1370.10000002384,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","mirror","trial136mod.mp4","136_mirror",28,1273.5,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial85mod.mp4","85_chase",29,2159,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial266mod.mp4","266_chase",30,2003.19999998808,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial67mod.mp4","67_chase",31,2333,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial127mod.mp4","127_mirror",32,1398.90000003576,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial218mod.mp4","218_chase",33,756.5,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial101mod.mp4","101_chase",34,1459.89999997616,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial107mod.mp4","107_chase",35,1081.39999997616,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial106mod.mp4","106_chase",36,1158.19999998808,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial237mod.mp4","237_chase",37,1060.39999997616,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial77mod.mp4","77_chase",38,1879.40000003576,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","chase","trial146mod.mp4","146_chase",39,1136.39999997616,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","mirror","trial105mod.mp4","105_mirror",40,1108.40000003576,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial174mod.mp4","174_chase",41,2049.19999998808,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial49mod.mp4","49_chase",42,1186.90000003576,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial144mod.mp4","144_mirror",43,1207.80000001192,0,"correct","R0_TTmirror"
"A26NGLGGFTATVN","chase","trial9mod.mp4","9_chase",44,2185,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial57mod.mp4","57_mirror",45,1018,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","mirror","trial217mod.mp4","217_mirror",46,732.599999964237,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial220mod.mp4","220_chase",47,981.400000035763,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial140mod.mp4","140_chase",48,1224.80000001192,0,"incorrect","R0_TTchase"
"A26NGLGGFTATVN","chase","trial280mod.mp4","280_chase",49,1206.60000002384,1,"correct","R1_TTchase"
"A26NGLGGFTATVN","mirror","trial35mod.mp4","35_mirror",50,1024.90000003576,1,"incorrect","R1_TTmirror"
"A26NGLGGFTATVN","chase","trial279mod.mp4","279_chase",51,1332.5,1,"correct","R1_TTchase"
