"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2B153AHPWHLH1","chase","trial224mod.mp4","224_chase",1,2602.20000001788,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial34mod.mp4","34_mirror",2,2682.90000000596,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial79mod.mp4","79_chase",3,3611.40000000596,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial128mod.mp4","128_mirror",4,2286.40000000596,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial34mod.mp4","34_chase",5,2858,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial261mod.mp4","261_chase",6,3681.29999998212,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial224mod.mp4","224_mirror",7,1706.80000001192,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial128mod.mp4","128_chase",8,2649.5,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial147mod.mp4","147_chase",9,1972,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial147mod.mp4","147_mirror",10,2380.69999998808,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial261mod.mp4","261_mirror",11,1689.59999999404,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial79mod.mp4","79_mirror",12,2442.80000001192,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial83mod.mp4","83_mirror",13,1894.80000001192,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial27mod.mp4","27_mirror",14,2216,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial92mod.mp4","92_mirror",15,2836.79999998212,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial121mod.mp4","121_chase",16,2641.69999998808,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial211mod.mp4","211_mirror",17,1261,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial125mod.mp4","125_chase",18,1138.40000000596,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial276mod.mp4","276_mirror",19,2663.29999998212,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial47mod.mp4","47_chase",20,3393,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial107mod.mp4","107_mirror",21,2453.19999998808,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial244mod.mp4","244_chase",22,2114.10000002384,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial236mod.mp4","236_chase",23,1766.39999997616,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial41mod.mp4","41_mirror",24,2070,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial276mod.mp4","276_chase",25,2349,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial239mod.mp4","239_chase",26,2315.69999998808,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial110mod.mp4","110_chase",27,2252.40000000596,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial241mod.mp4","241_chase",28,2498,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial60mod.mp4","60_chase",29,2718.09999999404,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial43mod.mp4","43_mirror",30,2188.20000001788,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial255mod.mp4","255_mirror",31,1936.90000000596,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial168mod.mp4","168_chase",32,1916.09999999404,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial198mod.mp4","198_mirror",33,3277.09999999404,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial130mod.mp4","130_mirror",34,1971,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial211mod.mp4","211_chase",35,2044.59999999404,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial151mod.mp4","151_chase",36,1816.20000001788,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial101mod.mp4","101_chase",37,2026.59999999404,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial260mod.mp4","260_mirror",38,2317,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial6mod.mp4","6_mirror",39,2429,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial40mod.mp4","40_chase",40,1732.70000001788,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial61mod.mp4","61_chase",41,1591.80000001192,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial51mod.mp4","51_mirror",42,2924.5,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial104mod.mp4","104_chase",43,1630.5,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial28mod.mp4","28_mirror",44,1112.40000000596,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial233mod.mp4","233_chase",45,2112.29999998212,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial195mod.mp4","195_chase",46,1686.90000000596,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial119mod.mp4","119_mirror",47,1792.09999999404,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial87mod.mp4","87_chase",48,1813.69999998808,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial28mod.mp4","28_chase",49,1964.5,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial229mod.mp4","229_mirror",50,819.40000000596,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial27mod.mp4","27_chase",51,1681.59999999404,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial248mod.mp4","248_chase",52,2339.59999999404,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial269mod.mp4","269_mirror",53,1900.59999999404,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial151mod.mp4","151_mirror",54,1514.69999998808,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial229mod.mp4","229_chase",55,2217.40000000596,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","mirror","trial110mod.mp4","110_mirror",56,2663.80000001192,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","chase","trial153mod.mp4","153_chase",57,2188.09999999404,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial299mod.mp4","299_chase",58,2013.5,1,"correct","R1_TTchase"
"A2B153AHPWHLH1","chase","trial102mod.mp4","102_chase",59,1974.29999998212,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial39mod.mp4","39_mirror",60,1746.30000001192,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial69mod.mp4","69_mirror",61,2479.79999998212,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","chase","trial83mod.mp4","83_chase",62,1670.30000001192,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","chase","trial11mod.mp4","11_chase",63,2317.5,0,"incorrect","R0_TTchase"
"A2B153AHPWHLH1","mirror","trial11mod.mp4","11_mirror",64,1561.89999997616,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial19mod.mp4","19_mirror",65,1495.09999999404,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial244mod.mp4","244_mirror",66,3369.19999998808,1,"incorrect","R1_TTmirror"
"A2B153AHPWHLH1","mirror","trial284mod.mp4","284_mirror",67,1934.20000001788,0,"correct","R0_TTmirror"
"A2B153AHPWHLH1","mirror","trial75mod.mp4","75_mirror",68,1663.70000001788,0,"correct","R0_TTmirror"
