"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2M183CETUMR96","chase","trial68mod.mp4","68_chase",1,1782,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","chase","trial297mod.mp4","297_chase",2,2900.19999999553,1,"correct","R1_TTchase"
"A2M183CETUMR96","mirror","trial131mod.mp4","131_mirror",3,1145.69999999553,1,"incorrect","R1_TTmirror"
"A2M183CETUMR96","mirror","trial254mod.mp4","254_mirror",4,4897.20000000298,0,"correct","R0_TTmirror"
"A2M183CETUMR96","chase","trial131mod.mp4","131_chase",5,2456.5,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","mirror","trial68mod.mp4","68_mirror",6,4083.10000000149,0,"correct","R0_TTmirror"
"A2M183CETUMR96","mirror","trial118mod.mp4","118_mirror",7,2464.60000000149,1,"incorrect","R1_TTmirror"
"A2M183CETUMR96","chase","trial292mod.mp4","292_chase",8,2623.29999999702,1,"correct","R1_TTchase"
"A2M183CETUMR96","chase","trial254mod.mp4","254_chase",9,2038.29999999702,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","mirror","trial297mod.mp4","297_mirror",10,3696.60000000149,0,"correct","R0_TTmirror"
"A2M183CETUMR96","mirror","trial292mod.mp4","292_mirror",11,3806.10000000149,1,"incorrect","R1_TTmirror"
"A2M183CETUMR96","chase","trial118mod.mp4","118_chase",12,2311.69999999553,1,"correct","R1_TTchase"
"A2M183CETUMR96","chase","trial40mod.mp4","40_chase",13,2978.70000000298,1,"correct","R1_TTchase"
"A2M183CETUMR96","mirror","trial215mod.mp4","215_mirror",14,1956.79999999702,0,"correct","R0_TTmirror"
"A2M183CETUMR96","mirror","trial141mod.mp4","141_mirror",15,3457.40000000596,1,"incorrect","R1_TTmirror"
"A2M183CETUMR96","chase","trial137mod.mp4","137_chase",16,2319.20000000298,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","mirror","trial222mod.mp4","222_mirror",17,2900,1,"incorrect","R1_TTmirror"
"A2M183CETUMR96","mirror","trial9mod.mp4","9_mirror",18,3523,0,"correct","R0_TTmirror"
"A2M183CETUMR96","chase","trial102mod.mp4","102_chase",19,3710.39999999851,1,"correct","R1_TTchase"
"A2M183CETUMR96","chase","trial96mod.mp4","96_chase",20,4023.80000000447,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","chase","trial55mod.mp4","55_chase",21,2467.79999999702,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","mirror","trial90mod.mp4","90_mirror",22,4453.59999999404,0,"correct","R0_TTmirror"
"A2M183CETUMR96","chase","trial177mod.mp4","177_chase",23,3103.69999999553,0,"incorrect","R0_TTchase"
"A2M183CETUMR96","mirror","trial137mod.mp4","137_mirror",24,3783.89999999851,0,"correct","R0_TTmirror"
"A2M183CETUMR96","chase","trial275mod.mp4","275_chase",25,3169.5,1,"correct","R1_TTchase"
"A2M183CETUMR96","mirror","trial300mod.mp4","300_mirror",26,2894.60000000149,0,"correct","R0_TTmirror"
"A2M183CETUMR96","chase","trial285mod.mp4","285_chase",27,2080.80000000447,1,"correct","R1_TTchase"
