"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2NQR8NLH5P3IH","chase","trial155mod.mp4","155_chase",1,1219.19999998808,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial223mod.mp4","223_chase",2,1485.60000002384,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial230mod.mp4","230_chase",3,7312.30000001192,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial223mod.mp4","223_mirror",4,1965.19999998808,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial193mod.mp4","193_mirror",5,2470.39999997616,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial49mod.mp4","49_mirror",6,1685.5,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial75mod.mp4","75_mirror",7,1716.79999995232,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial75mod.mp4","75_chase",8,1642,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial230mod.mp4","230_mirror",9,1351,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial155mod.mp4","155_mirror",10,1093.90000003576,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial193mod.mp4","193_chase",11,1914.40000003576,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial49mod.mp4","49_chase",12,1241.39999997616,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial13mod.mp4","13_mirror",13,1535.5,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial57mod.mp4","57_chase",14,1282.80000001192,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial266mod.mp4","266_mirror",15,868.699999988079,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial164mod.mp4","164_mirror",16,1221.39999997616,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial124mod.mp4","124_mirror",17,1577.60000002384,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial262mod.mp4","262_mirror",18,1100,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial132mod.mp4","132_chase",19,1654.30000001192,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial277mod.mp4","277_mirror",20,1842.19999998808,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial203mod.mp4","203_mirror",21,1413.20000004768,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial218mod.mp4","218_mirror",22,1509.10000002384,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial209mod.mp4","209_chase",23,1209.39999997616,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial73mod.mp4","73_chase",24,1443.90000003576,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial13mod.mp4","13_chase",25,1462.90000003576,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial103mod.mp4","103_mirror",26,2019.29999995232,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial229mod.mp4","229_mirror",27,1354.19999998808,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial281mod.mp4","281_mirror",28,1388.30000001192,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial68mod.mp4","68_chase",29,1327.5,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial256mod.mp4","256_mirror",30,1919.60000002384,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial277mod.mp4","277_chase",31,1678.19999998808,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial58mod.mp4","58_mirror",32,2086.10000002384,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial281mod.mp4","281_chase",33,2092.80000001192,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial65mod.mp4","65_chase",34,1263.39999997616,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial262mod.mp4","262_chase",35,2272,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial3mod.mp4","3_mirror",36,1851.5,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial253mod.mp4","253_mirror",37,2235.59999996424,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial282mod.mp4","282_chase",38,1822.80000001192,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial273mod.mp4","273_chase",39,1460.39999997616,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial203mod.mp4","203_chase",40,2073,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial73mod.mp4","73_mirror",41,1392.59999996424,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial283mod.mp4","283_mirror",42,1653.19999998808,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial83mod.mp4","83_chase",43,2318,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial44mod.mp4","44_chase",44,2501.30000001192,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial170mod.mp4","170_chase",45,1912.30000001192,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","mirror","trial53mod.mp4","53_mirror",46,1770.59999996424,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial111mod.mp4","111_mirror",47,1968.19999998808,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial191mod.mp4","191_mirror",48,1277.19999998808,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial127mod.mp4","127_chase",49,1481.89999997616,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial211mod.mp4","211_mirror",50,2597,0,"correct","R0_TTmirror"
"A2NQR8NLH5P3IH","chase","trial229mod.mp4","229_chase",51,2403.30000001192,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial267mod.mp4","267_chase",52,1886.20000004768,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial257mod.mp4","257_mirror",53,2181.89999997616,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial124mod.mp4","124_chase",54,2629.29999995232,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","chase","trial283mod.mp4","283_chase",55,1900.70000004768,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial20mod.mp4","20_chase",56,1784.89999997616,1,"correct","R1_TTchase"
"A2NQR8NLH5P3IH","mirror","trial294mod.mp4","294_mirror",57,1984.20000004768,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","mirror","trial83mod.mp4","83_mirror",58,1854.5,1,"incorrect","R1_TTmirror"
"A2NQR8NLH5P3IH","chase","trial23mod.mp4","23_chase",59,1743.5,0,"incorrect","R0_TTchase"
"A2NQR8NLH5P3IH","chase","trial74mod.mp4","74_chase",60,1716.59999996424,0,"incorrect","R0_TTchase"
