"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2PXJTMWGUE5DC","mirror","trial8mod.mp4","8_mirror",1,6990,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial137mod.mp4","137_mirror",2,5635.79999995232,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial8mod.mp4","8_chase",3,5795,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","chase","trial283mod.mp4","283_chase",4,4051,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial241mod.mp4","241_chase",5,4736.80000019073,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial283mod.mp4","283_mirror",6,5212.09999990463,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial137mod.mp4","137_chase",7,6388.79999995232,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial180mod.mp4","180_mirror",8,5843.5,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial180mod.mp4","180_chase",9,4876.20000004768,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial241mod.mp4","241_mirror",10,5027.29999995232,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial114mod.mp4","114_mirror",11,4851.5,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial114mod.mp4","114_chase",12,4836.80000019073,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial268mod.mp4","268_mirror",13,4155.5,1,"incorrect","R1_TTmirror"
"A2PXJTMWGUE5DC","chase","trial171mod.mp4","171_chase",14,4443.29999995232,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial2mod.mp4","2_chase",15,4426.89999985695,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","chase","trial205mod.mp4","205_chase",16,4885.5,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial3mod.mp4","3_mirror",17,4461.69999980927,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial102mod.mp4","102_chase",18,4859.09999990463,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","chase","trial248mod.mp4","248_chase",19,4672.5,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial100mod.mp4","100_mirror",20,4721.60000014305,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial14mod.mp4","14_chase",21,5419.59999990463,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial177mod.mp4","177_mirror",22,4980,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial293mod.mp4","293_mirror",23,4634.30000019073,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial281mod.mp4","281_chase",24,5705.5,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial198mod.mp4","198_mirror",25,4860.39999985695,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial145mod.mp4","145_mirror",26,4754.60000014305,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial136mod.mp4","136_mirror",27,4542.79999995232,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial131mod.mp4","131_chase",28,4915.60000014305,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial231mod.mp4","231_chase",29,5526.90000009537,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial66mod.mp4","66_mirror",30,4386.5,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial228mod.mp4","228_mirror",31,4675.40000009537,1,"incorrect","R1_TTmirror"
"A2PXJTMWGUE5DC","chase","trial200mod.mp4","200_chase",32,4463.89999985695,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial285mod.mp4","285_mirror",33,5168,1,"incorrect","R1_TTmirror"
"A2PXJTMWGUE5DC","chase","trial185mod.mp4","185_chase",34,4423.5,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial13mod.mp4","13_chase",35,5143.09999990463,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial45mod.mp4","45_mirror",36,4997.90000009537,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial63mod.mp4","63_mirror",37,4138.09999990463,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial16mod.mp4","16_mirror",38,3828.40000009537,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial217mod.mp4","217_chase",39,3387.89999985695,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial158mod.mp4","158_mirror",40,4804.79999995232,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial189mod.mp4","189_chase",41,4704.90000009537,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial271mod.mp4","271_chase",42,5112.5,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","chase","trial109mod.mp4","109_chase",43,4662.70000004768,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial89mod.mp4","89_chase",44,4381.89999985695,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial158mod.mp4","158_chase",45,6169.09999990463,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial216mod.mp4","216_mirror",46,4293.70000004768,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial32mod.mp4","32_chase",47,5094.79999995232,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial9mod.mp4","9_chase",48,4552.09999990463,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial186mod.mp4","186_mirror",49,3672.60000014305,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial230mod.mp4","230_chase",50,3238.79999995232,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","mirror","trial299mod.mp4","299_mirror",51,5085.5,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial181mod.mp4","181_chase",52,3337.5,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial275mod.mp4","275_chase",53,4408,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial187mod.mp4","187_chase",54,3011.5,1,"correct","R1_TTchase"
"A2PXJTMWGUE5DC","chase","trial68mod.mp4","68_chase",55,4142.70000004768,0,"incorrect","R0_TTchase"
"A2PXJTMWGUE5DC","mirror","trial36mod.mp4","36_mirror",56,4435.90000009537,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","mirror","trial111mod.mp4","111_mirror",57,3748.5,0,"correct","R0_TTmirror"
"A2PXJTMWGUE5DC","chase","trial36mod.mp4","36_chase",58,3937.89999985695,1,"correct","R1_TTchase"
