"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2T1LNI80EPOQR","chase","trial9mod.mp4","9_chase",1,5091.30000000075,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial114mod.mp4","114_mirror",2,5194.59999999963,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","mirror","trial145mod.mp4","145_mirror",3,4671,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial137mod.mp4","137_mirror",4,4850.09999999963,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","mirror","trial284mod.mp4","284_mirror",5,4888.69999999925,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","mirror","trial9mod.mp4","9_mirror",6,5097.09999999963,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial145mod.mp4","145_chase",7,6027.5,0,"incorrect","R0_TTchase"
"A2T1LNI80EPOQR","chase","trial284mod.mp4","284_chase",8,5409.39999999851,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","chase","trial1mod.mp4","1_chase",9,4790.20000000112,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","chase","trial114mod.mp4","114_chase",10,4589.5,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial1mod.mp4","1_mirror",11,4954.20000000112,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial137mod.mp4","137_chase",12,4589,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial44mod.mp4","44_mirror",13,4557.89999999851,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","mirror","trial242mod.mp4","242_mirror",14,5035.20000000112,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial18mod.mp4","18_chase",15,4728.09999999963,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial210mod.mp4","210_mirror",16,4680.19999999925,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial283mod.mp4","283_chase",17,4644.10000000149,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial202mod.mp4","202_mirror",18,5027.40000000037,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial30mod.mp4","30_mirror",19,4559.5,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial133mod.mp4","133_chase",20,4636,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial232mod.mp4","232_mirror",21,4920.09999999963,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial247mod.mp4","247_mirror",22,4592.39999999851,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","mirror","trial109mod.mp4","109_mirror",23,4822.5,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial11mod.mp4","11_mirror",24,4574.5,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","chase","trial22mod.mp4","22_chase",25,5821.70000000112,0,"incorrect","R0_TTchase"
"A2T1LNI80EPOQR","mirror","trial75mod.mp4","75_mirror",26,4766.80000000075,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial100mod.mp4","100_chase",27,4935.40000000037,0,"incorrect","R0_TTchase"
"A2T1LNI80EPOQR","chase","trial181mod.mp4","181_chase",28,4527.60000000149,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","chase","trial242mod.mp4","242_chase",29,4591.09999999963,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","chase","trial191mod.mp4","191_chase",30,4561.40000000037,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","chase","trial273mod.mp4","273_chase",31,4499,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial273mod.mp4","273_mirror",32,4894,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial11mod.mp4","11_chase",33,4989.60000000149,0,"incorrect","R0_TTchase"
"A2T1LNI80EPOQR","mirror","trial219mod.mp4","219_mirror",34,4688.29999999888,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial105mod.mp4","105_mirror",35,4566.59999999963,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial272mod.mp4","272_chase",36,4805.40000000037,0,"incorrect","R0_TTchase"
"A2T1LNI80EPOQR","mirror","trial8mod.mp4","8_mirror",37,4584.70000000112,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","chase","trial183mod.mp4","183_chase",38,4620.90000000037,1,"correct","R1_TTchase"
"A2T1LNI80EPOQR","mirror","trial294mod.mp4","294_mirror",39,4601,0,"correct","R0_TTmirror"
"A2T1LNI80EPOQR","mirror","trial206mod.mp4","206_mirror",40,4990.5,1,"incorrect","R1_TTmirror"
"A2T1LNI80EPOQR","chase","trial279mod.mp4","279_chase",41,4713.90000000037,1,"correct","R1_TTchase"
