"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2T675UCHNTSSW","chase","trial26mod.mp4","26_chase",1,4377.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial148mod.mp4","148_chase",2,3501.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial252mod.mp4","252_chase",3,2632.79999995232,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial150mod.mp4","150_mirror",4,2757.39999997616,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial150mod.mp4","150_chase",5,2927.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial56mod.mp4","56_mirror",6,2796.10000002384,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial238mod.mp4","238_chase",7,4356,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial26mod.mp4","26_mirror",8,2673.5,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial252mod.mp4","252_mirror",9,2075.30000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial238mod.mp4","238_mirror",10,3175.19999992847,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial148mod.mp4","148_mirror",11,4812.5,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial56mod.mp4","56_chase",12,3917.09999990463,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial75mod.mp4","75_chase",13,2317.59999990463,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial276mod.mp4","276_chase",14,3574,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial190mod.mp4","190_mirror",15,4403.5,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial254mod.mp4","254_chase",16,2626.29999995232,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial190mod.mp4","190_chase",17,3410.5,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial10mod.mp4","10_mirror",18,3867.80000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial264mod.mp4","264_mirror",19,3639.5,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial28mod.mp4","28_mirror",20,4305.10000002384,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial290mod.mp4","290_chase",21,3053.5,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial204mod.mp4","204_chase",22,2448,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial68mod.mp4","68_mirror",23,1905.30000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial70mod.mp4","70_chase",24,3193.69999992847,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial243mod.mp4","243_mirror",25,3501.89999997616,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial29mod.mp4","29_mirror",26,1911.29999995232,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial272mod.mp4","272_chase",27,2384,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial138mod.mp4","138_chase",28,3664.90000009537,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial257mod.mp4","257_mirror",29,3221.60000002384,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial153mod.mp4","153_chase",30,3770,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial257mod.mp4","257_chase",31,3443.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial183mod.mp4","183_chase",32,3005.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial214mod.mp4","214_mirror",33,3064.10000002384,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial139mod.mp4","139_chase",34,2863.69999992847,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial240mod.mp4","240_chase",35,2185,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial247mod.mp4","247_chase",36,3490.30000007153,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial115mod.mp4","115_chase",37,3586.29999995232,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial33mod.mp4","33_mirror",38,2695.80000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial3mod.mp4","3_mirror",39,4718.70000004768,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial7mod.mp4","7_chase",40,3827.19999992847,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial49mod.mp4","49_chase",41,4095.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial82mod.mp4","82_chase",42,2915,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial254mod.mp4","254_mirror",43,3955,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial126mod.mp4","126_chase",44,1712.79999995232,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial128mod.mp4","128_chase",45,3136.5,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial161mod.mp4","161_chase",46,3072.70000004768,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial123mod.mp4","123_mirror",47,1869.79999995232,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial15mod.mp4","15_chase",48,2506.89999997616,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial20mod.mp4","20_mirror",49,1936.09999990463,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial272mod.mp4","272_mirror",50,3890.30000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial276mod.mp4","276_mirror",51,3172.5,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial168mod.mp4","168_mirror",52,3121.40000009537,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial67mod.mp4","67_mirror",53,4756.89999997616,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial233mod.mp4","233_chase",54,3620.19999992847,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial212mod.mp4","212_chase",55,2931.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial61mod.mp4","61_chase",56,3184.70000004768,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial48mod.mp4","48_mirror",57,4639,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial158mod.mp4","158_chase",58,2178.19999992847,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial300mod.mp4","300_chase",59,2378.90000009537,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial184mod.mp4","184_chase",60,3185.10000002384,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial6mod.mp4","6_chase",61,1355.80000007153,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial288mod.mp4","288_chase",62,3945.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial268mod.mp4","268_mirror",63,4357.89999997616,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial153mod.mp4","153_mirror",64,3919.69999992847,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial180mod.mp4","180_chase",65,3182.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial256mod.mp4","256_mirror",66,3987.20000004768,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial49mod.mp4","49_mirror",67,2770.10000002384,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial197mod.mp4","197_chase",68,4493.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial87mod.mp4","87_chase",69,3617.80000007153,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial158mod.mp4","158_mirror",70,4730.09999990463,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial115mod.mp4","115_mirror",71,4624.90000009537,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial210mod.mp4","210_chase",72,4558.89999997616,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial187mod.mp4","187_mirror",73,2973.10000002384,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial80mod.mp4","80_mirror",74,3329.39999997616,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial55mod.mp4","55_chase",75,2602,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial53mod.mp4","53_chase",76,3985,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial264mod.mp4","264_chase",77,2833.5,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial16mod.mp4","16_chase",78,3734.5,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial166mod.mp4","166_chase",79,4002.19999992847,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","chase","trial278mod.mp4","278_chase",80,4658.60000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial295mod.mp4","295_chase",81,3929.39999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial258mod.mp4","258_chase",82,3308.39999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial18mod.mp4","18_chase",83,3190.10000002384,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial279mod.mp4","279_chase",84,4322.39999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial55mod.mp4","55_mirror",85,4486.79999995232,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial273mod.mp4","273_chase",86,4071.89999997616,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","chase","trial110mod.mp4","110_chase",87,3414,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial296mod.mp4","296_mirror",88,4724.40000009537,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","chase","trial109mod.mp4","109_chase",89,3577.19999992847,0,"incorrect","R0_TTchase"
"A2T675UCHNTSSW","mirror","trial295mod.mp4","295_mirror",90,4345.5,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial120mod.mp4","120_mirror",91,4174.90000009537,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial112mod.mp4","112_mirror",92,4426.30000007153,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","chase","trial19mod.mp4","19_chase",93,4446.40000009537,1,"correct","R1_TTchase"
"A2T675UCHNTSSW","mirror","trial146mod.mp4","146_mirror",94,4015.60000002384,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial15mod.mp4","15_mirror",95,4344.29999995232,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial17mod.mp4","17_mirror",96,2680,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial75mod.mp4","75_mirror",97,4510.39999997616,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial288mod.mp4","288_mirror",98,3537.20000004768,1,"incorrect","R1_TTmirror"
"A2T675UCHNTSSW","mirror","trial109mod.mp4","109_mirror",99,4306.29999995232,0,"correct","R0_TTmirror"
"A2T675UCHNTSSW","mirror","trial212mod.mp4","212_mirror",100,4365.5,0,"correct","R0_TTmirror"
