"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2VAL2BRKVSUB5","mirror","trial66mod.mp4","66_mirror",1,4220.90000003576,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial271mod.mp4","271_mirror",2,3077.60000002384,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial205mod.mp4","205_mirror",3,2180,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial271mod.mp4","271_chase",4,2145.30000001192,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial236mod.mp4","236_chase",5,2791.89999997616,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","mirror","trial296mod.mp4","296_mirror",6,2945.69999998808,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial236mod.mp4","236_mirror",7,5646.70000004768,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial205mod.mp4","205_chase",8,3913.19999998808,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial296mod.mp4","296_chase",9,4399,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","mirror","trial62mod.mp4","62_mirror",10,3836.69999998808,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial66mod.mp4","66_chase",11,2425.80000001192,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial62mod.mp4","62_chase",12,3744.09999996424,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","mirror","trial245mod.mp4","245_mirror",13,2661.69999998808,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial124mod.mp4","124_mirror",14,3530.69999998808,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial110mod.mp4","110_chase",15,3436,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","mirror","trial283mod.mp4","283_mirror",16,2855.20000004768,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial153mod.mp4","153_mirror",17,2754.10000002384,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","chase","trial269mod.mp4","269_chase",18,3095.80000001192,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","mirror","trial161mod.mp4","161_mirror",19,2695.89999997616,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial61mod.mp4","61_mirror",20,3471.79999995232,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial175mod.mp4","175_mirror",21,3176.70000004768,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","chase","trial129mod.mp4","129_chase",22,2230.79999995232,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","chase","trial75mod.mp4","75_chase",23,2777.09999996424,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","chase","trial200mod.mp4","200_chase",24,2577.09999996424,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial100mod.mp4","100_chase",25,2926.40000003576,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial250mod.mp4","250_chase",26,3045,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","chase","trial128mod.mp4","128_chase",27,3120.60000002384,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","chase","trial257mod.mp4","257_chase",28,2969.40000003576,0,"incorrect","R0_TTchase"
"A2VAL2BRKVSUB5","mirror","trial83mod.mp4","83_mirror",29,3826.69999998808,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial106mod.mp4","106_chase",30,2908.90000003576,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","mirror","trial68mod.mp4","68_mirror",31,3144.69999998808,1,"incorrect","R1_TTmirror"
"A2VAL2BRKVSUB5","mirror","trial123mod.mp4","123_mirror",32,3006,0,"correct","R0_TTmirror"
"A2VAL2BRKVSUB5","chase","trial134mod.mp4","134_chase",33,3565.80000001192,1,"correct","R1_TTchase"
"A2VAL2BRKVSUB5","chase","trial276mod.mp4","276_chase",34,3825.5,1,"correct","R1_TTchase"
