"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A2Z6NL0CTXY0ZB","mirror","trial233mod.mp4","233_mirror",1,1453,1,"incorrect","R1_TTmirror"
"A2Z6NL0CTXY0ZB","mirror","trial91mod.mp4","91_mirror",2,1167,1,"incorrect","R1_TTmirror"
"A2Z6NL0CTXY0ZB","mirror","trial262mod.mp4","262_mirror",3,1743,0,"correct","R0_TTmirror"
"A2Z6NL0CTXY0ZB","mirror","trial196mod.mp4","196_mirror",4,1917,0,"correct","R0_TTmirror"
"A2Z6NL0CTXY0ZB","mirror","trial36mod.mp4","36_mirror",5,1424,0,"correct","R0_TTmirror"
"A2Z6NL0CTXY0ZB","chase","trial233mod.mp4","233_chase",6,1791,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","mirror","trial26mod.mp4","26_mirror",7,2348,1,"incorrect","R1_TTmirror"
"A2Z6NL0CTXY0ZB","chase","trial36mod.mp4","36_chase",8,1144,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial26mod.mp4","26_chase",9,1133,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial91mod.mp4","91_chase",10,1288,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial196mod.mp4","196_chase",11,1404,1,"correct","R1_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial262mod.mp4","262_chase",12,1303,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","mirror","trial254mod.mp4","254_mirror",13,2712,1,"incorrect","R1_TTmirror"
"A2Z6NL0CTXY0ZB","chase","trial45mod.mp4","45_chase",14,3352,1,"correct","R1_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial52mod.mp4","52_chase",15,2936,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","mirror","trial287mod.mp4","287_mirror",16,2576,0,"correct","R0_TTmirror"
"A2Z6NL0CTXY0ZB","chase","trial249mod.mp4","249_chase",17,1948,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial205mod.mp4","205_chase",18,3673,1,"correct","R1_TTchase"
"A2Z6NL0CTXY0ZB","chase","trial169mod.mp4","169_chase",19,2725,0,"incorrect","R0_TTchase"
"A2Z6NL0CTXY0ZB","mirror","trial244mod.mp4","244_mirror",20,833,1,"incorrect","R1_TTmirror"
"A2Z6NL0CTXY0ZB","mirror","trial171mod.mp4","171_mirror",21,3529,0,"correct","R0_TTmirror"
"A2Z6NL0CTXY0ZB","chase","trial122mod.mp4","122_chase",22,3074,1,"correct","R1_TTchase"
