"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A353XKDTUX10NC","mirror","trial133mod.mp4","133_mirror",1,6519,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial75mod.mp4","75_mirror",2,5059,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial280mod.mp4","280_chase",3,4573,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial121mod.mp4","121_chase",4,4717,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","mirror","trial121mod.mp4","121_mirror",5,4421,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial148mod.mp4","148_chase",6,5353,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial75mod.mp4","75_chase",7,5067,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial133mod.mp4","133_chase",8,4749,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial73mod.mp4","73_chase",9,4387,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","mirror","trial73mod.mp4","73_mirror",10,4469,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial148mod.mp4","148_mirror",11,4337,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial280mod.mp4","280_mirror",12,4739,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial256mod.mp4","256_chase",13,5190,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial8mod.mp4","8_mirror",14,5624,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial8mod.mp4","8_chase",15,4709,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial145mod.mp4","145_mirror",16,4541,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial249mod.mp4","249_mirror",17,4894,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial164mod.mp4","164_mirror",18,4765,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial28mod.mp4","28_mirror",19,5107,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial247mod.mp4","247_chase",20,4637,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial117mod.mp4","117_mirror",21,6084,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial127mod.mp4","127_mirror",22,4925,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial123mod.mp4","123_chase",23,5070,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial170mod.mp4","170_chase",24,4652,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial184mod.mp4","184_mirror",25,5070,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial6mod.mp4","6_mirror",26,5316,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial207mod.mp4","207_mirror",27,4750,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial118mod.mp4","118_chase",28,4700,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial214mod.mp4","214_mirror",29,4852,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial289mod.mp4","289_chase",30,4651,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial25mod.mp4","25_chase",31,4589,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial53mod.mp4","53_mirror",32,4757,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial277mod.mp4","277_chase",33,4989,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial228mod.mp4","228_chase",34,5046,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial27mod.mp4","27_chase",35,4653,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial120mod.mp4","120_chase",36,4557,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial294mod.mp4","294_chase",37,4654,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial242mod.mp4","242_chase",38,4694,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial96mod.mp4","96_mirror",39,4948,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial223mod.mp4","223_mirror",40,4710,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial159mod.mp4","159_mirror",41,5093,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial131mod.mp4","131_chase",42,4814,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial290mod.mp4","290_mirror",43,4885,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial137mod.mp4","137_chase",44,4758,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial57mod.mp4","57_chase",45,4638,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial249mod.mp4","249_chase",46,4886,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial248mod.mp4","248_chase",47,4645,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial93mod.mp4","93_chase",48,4678,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial224mod.mp4","224_mirror",49,4836,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial277mod.mp4","277_mirror",50,4805,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial272mod.mp4","272_chase",51,4709,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial165mod.mp4","165_mirror",52,4750,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial237mod.mp4","237_mirror",53,4933,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial2mod.mp4","2_chase",54,4940,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial297mod.mp4","297_mirror",55,5111,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial102mod.mp4","102_mirror",56,4956,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial105mod.mp4","105_mirror",57,4686,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial241mod.mp4","241_chase",58,4758,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial281mod.mp4","281_chase",59,4709,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial27mod.mp4","27_mirror",60,5062,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial250mod.mp4","250_chase",61,4678,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial62mod.mp4","62_mirror",62,4988,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial102mod.mp4","102_chase",63,4664,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial227mod.mp4","227_mirror",64,4779,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial209mod.mp4","209_mirror",65,4563,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial125mod.mp4","125_chase",66,4752,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial79mod.mp4","79_mirror",67,4819,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial187mod.mp4","187_chase",68,4893,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial65mod.mp4","65_chase",69,4758,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial161mod.mp4","161_chase",70,4639,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial123mod.mp4","123_mirror",71,4846,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","mirror","trial162mod.mp4","162_mirror",72,4735,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial54mod.mp4","54_chase",73,4821,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial85mod.mp4","85_chase",74,4750,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial207mod.mp4","207_chase",75,4685,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial97mod.mp4","97_chase",76,4374,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial186mod.mp4","186_mirror",77,4491,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","mirror","trial216mod.mp4","216_mirror",78,4535,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial231mod.mp4","231_chase",79,4838,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","chase","trial162mod.mp4","162_chase",80,4637,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial4mod.mp4","4_mirror",81,4532,0,"correct","R0_TTmirror"
"A353XKDTUX10NC","chase","trial180mod.mp4","180_chase",82,4686,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial186mod.mp4","186_chase",83,4758,0,"incorrect","R0_TTchase"
"A353XKDTUX10NC","mirror","trial206mod.mp4","206_mirror",84,4966,1,"incorrect","R1_TTmirror"
"A353XKDTUX10NC","chase","trial96mod.mp4","96_chase",85,4806,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial240mod.mp4","240_chase",86,4629,1,"correct","R1_TTchase"
"A353XKDTUX10NC","chase","trial227mod.mp4","227_chase",87,4559,1,"correct","R1_TTchase"
"A353XKDTUX10NC","mirror","trial270mod.mp4","270_mirror",88,4415,0,"correct","R0_TTmirror"
