"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3EA4SHCLJ1UZQ","chase","trial32mod.mp4","32_chase",1,5011.80000001192,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","mirror","trial48mod.mp4","48_mirror",2,4545.10000002384,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","mirror","trial28mod.mp4","28_mirror",3,4558.40000003576,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","mirror","trial130mod.mp4","130_mirror",4,4578.19999998808,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","chase","trial130mod.mp4","130_chase",5,4624.39999997616,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","mirror","trial205mod.mp4","205_mirror",6,4548,1,"incorrect","R1_TTmirror"
"A3EA4SHCLJ1UZQ","mirror","trial150mod.mp4","150_mirror",7,4891.5,1,"incorrect","R1_TTmirror"
"A3EA4SHCLJ1UZQ","chase","trial28mod.mp4","28_chase",8,4601.30000001192,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","mirror","trial32mod.mp4","32_mirror",9,4561.89999997616,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","chase","trial150mod.mp4","150_chase",10,4746.5,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","chase","trial205mod.mp4","205_chase",11,4544,0,"incorrect","R0_TTchase"
"A3EA4SHCLJ1UZQ","chase","trial48mod.mp4","48_chase",12,5358.19999998808,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","mirror","trial22mod.mp4","22_mirror",13,4446.30000001192,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","chase","trial169mod.mp4","169_chase",14,4344.89999997616,1,"correct","R1_TTchase"
"A3EA4SHCLJ1UZQ","mirror","trial76mod.mp4","76_mirror",15,4480.39999997616,0,"correct","R0_TTmirror"
"A3EA4SHCLJ1UZQ","mirror","trial257mod.mp4","257_mirror",16,4642.60000002384,0,"correct","R0_TTmirror"
