"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3I40B0FATY8VH","mirror","trial226mod.mp4","226_mirror",1,7613.29999995232,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial14mod.mp4","14_mirror",2,4612.40000009537,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial73mod.mp4","73_mirror",3,4637.60000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial179mod.mp4","179_mirror",4,4777.30000007153,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial25mod.mp4","25_chase",5,4496.29999995232,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial226mod.mp4","226_chase",6,4476.19999992847,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial102mod.mp4","102_chase",7,4316.19999992847,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial73mod.mp4","73_chase",8,4389.29999995232,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","mirror","trial25mod.mp4","25_mirror",9,4584.79999995232,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","chase","trial14mod.mp4","14_chase",10,4357.19999992847,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial179mod.mp4","179_chase",11,4224.60000002384,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","mirror","trial102mod.mp4","102_mirror",12,4516.39999997616,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","chase","trial124mod.mp4","124_chase",13,4306.60000002384,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial138mod.mp4","138_mirror",14,4394.79999995232,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial198mod.mp4","198_chase",15,4747.10000002384,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial202mod.mp4","202_chase",16,4832.40000009537,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial133mod.mp4","133_mirror",17,4549.60000002384,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","mirror","trial256mod.mp4","256_mirror",18,4581.30000007153,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","mirror","trial186mod.mp4","186_mirror",19,4399.09999990463,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial287mod.mp4","287_mirror",20,4729.79999995232,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial163mod.mp4","163_chase",21,4381.19999992847,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial116mod.mp4","116_chase",22,4447.5,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial128mod.mp4","128_chase",23,4341.29999995232,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial277mod.mp4","277_chase",24,4692,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial40mod.mp4","40_chase",25,4563.60000002384,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial116mod.mp4","116_mirror",26,4408.10000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial227mod.mp4","227_chase",27,4461.09999990463,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial108mod.mp4","108_chase",28,4359.09999990463,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","mirror","trial163mod.mp4","163_mirror",29,4414.20000004768,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial153mod.mp4","153_mirror",30,4432.20000004768,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial86mod.mp4","86_mirror",31,4434.19999992847,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","mirror","trial70mod.mp4","70_mirror",32,4365.10000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial206mod.mp4","206_chase",33,3234.20000004768,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial191mod.mp4","191_chase",34,4303.30000007153,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial248mod.mp4","248_mirror",35,4072.59999990463,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial159mod.mp4","159_mirror",36,4346.10000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial220mod.mp4","220_mirror",37,4300,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","chase","trial101mod.mp4","101_chase",38,4409.29999995232,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial21mod.mp4","21_chase",39,3915.69999992847,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial229mod.mp4","229_chase",40,3031.60000002384,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial142mod.mp4","142_chase",41,4324.89999997616,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial74mod.mp4","74_mirror",42,4357.80000007153,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial260mod.mp4","260_chase",43,3807.60000002384,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","mirror","trial142mod.mp4","142_mirror",44,4361.10000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","mirror","trial39mod.mp4","39_mirror",45,4541,1,"incorrect","R1_TTmirror"
"A3I40B0FATY8VH","chase","trial7mod.mp4","7_chase",46,4273.80000007153,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial160mod.mp4","160_chase",47,4953.59999990463,1,"correct","R1_TTchase"
"A3I40B0FATY8VH","chase","trial151mod.mp4","151_chase",48,4424,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","chase","trial254mod.mp4","254_chase",49,4942.10000002384,0,"incorrect","R0_TTchase"
"A3I40B0FATY8VH","mirror","trial282mod.mp4","282_mirror",50,4606.10000002384,0,"correct","R0_TTmirror"
"A3I40B0FATY8VH","chase","trial110mod.mp4","110_chase",51,4626.60000002384,1,"correct","R1_TTchase"
