"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3LT7W355XOAKF","mirror","trial80mod.mp4","80_mirror",1,2473,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial171mod.mp4","171_mirror",2,1085,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","chase","trial117mod.mp4","117_chase",3,2031,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","chase","trial80mod.mp4","80_chase",4,4399,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","chase","trial139mod.mp4","139_chase",5,5996,0,"incorrect","R0_TTchase"
"A3LT7W355XOAKF","mirror","trial216mod.mp4","216_mirror",6,12201,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial117mod.mp4","117_mirror",7,3363,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","mirror","trial271mod.mp4","271_mirror",8,2895,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","mirror","trial139mod.mp4","139_mirror",9,3352,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","chase","trial216mod.mp4","216_chase",10,1363,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","chase","trial171mod.mp4","171_chase",11,8643,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","chase","trial271mod.mp4","271_chase",12,2489,0,"incorrect","R0_TTchase"
"A3LT7W355XOAKF","mirror","trial163mod.mp4","163_mirror",13,1698,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","chase","trial239mod.mp4","239_chase",14,2162,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","mirror","trial240mod.mp4","240_mirror",15,2520,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","mirror","trial44mod.mp4","44_mirror",16,2377,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","chase","trial267mod.mp4","267_chase",17,2838,0,"incorrect","R0_TTchase"
"A3LT7W355XOAKF","mirror","trial266mod.mp4","266_mirror",18,2714,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial74mod.mp4","74_mirror",19,3727,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","mirror","trial132mod.mp4","132_mirror",20,3187,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial125mod.mp4","125_mirror",21,2421,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","chase","trial258mod.mp4","258_chase",22,3051,0,"incorrect","R0_TTchase"
"A3LT7W355XOAKF","chase","trial103mod.mp4","103_chase",23,3035,1,"correct","R1_TTchase"
"A3LT7W355XOAKF","mirror","trial227mod.mp4","227_mirror",24,4093,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial105mod.mp4","105_mirror",25,5810,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","mirror","trial196mod.mp4","196_mirror",26,3679,1,"incorrect","R1_TTmirror"
"A3LT7W355XOAKF","mirror","trial143mod.mp4","143_mirror",27,2769,0,"correct","R0_TTmirror"
"A3LT7W355XOAKF","chase","trial14mod.mp4","14_chase",28,2387,1,"correct","R1_TTchase"
