"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3MD34XEB4H6JF","chase","trial89mod.mp4","89_chase",1,3194.5,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","mirror","trial191mod.mp4","191_mirror",2,3623,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial89mod.mp4","89_mirror",3,5750.19999999553,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial238mod.mp4","238_mirror",4,3840,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","mirror","trial194mod.mp4","194_mirror",5,3575.10000000149,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial103mod.mp4","103_mirror",6,3043.10000000149,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial191mod.mp4","191_chase",7,3126.39999999851,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial61mod.mp4","61_chase",8,4520.5,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial238mod.mp4","238_chase",9,3230.69999999553,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial103mod.mp4","103_chase",10,4705.39999999851,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial194mod.mp4","194_chase",11,4657.5,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial61mod.mp4","61_mirror",12,2778.89999999851,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial245mod.mp4","245_chase",13,4912.80000000447,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial11mod.mp4","11_chase",14,4247.80000000447,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial56mod.mp4","56_mirror",15,3395.39999999851,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial258mod.mp4","258_chase",16,3484.89999999851,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial50mod.mp4","50_mirror",17,4135.80000000447,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","mirror","trial284mod.mp4","284_mirror",18,4813.89999999851,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial54mod.mp4","54_mirror",19,4077.70000000298,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial297mod.mp4","297_chase",20,3808.80000000447,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial147mod.mp4","147_chase",21,4157.39999999851,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial1mod.mp4","1_mirror",22,4421.30000000447,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","mirror","trial188mod.mp4","188_mirror",23,4448.70000000298,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial40mod.mp4","40_chase",24,4503.10000000149,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial38mod.mp4","38_mirror",25,3308.60000000149,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial171mod.mp4","171_mirror",26,4642.10000000149,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial137mod.mp4","137_chase",27,2766.80000000447,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial117mod.mp4","117_mirror",28,3617.29999999702,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial196mod.mp4","196_chase",29,3945.60000000149,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial221mod.mp4","221_mirror",30,3593.60000000149,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","mirror","trial277mod.mp4","277_mirror",31,3160.39999999851,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial195mod.mp4","195_chase",32,4196.5,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial41mod.mp4","41_mirror",33,3994.60000000149,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial289mod.mp4","289_chase",34,3055.10000000149,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial237mod.mp4","237_mirror",35,3423.5,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial298mod.mp4","298_chase",36,3843.20000000298,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial4mod.mp4","4_chase",37,2417,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial247mod.mp4","247_mirror",38,4103.09999999404,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial252mod.mp4","252_mirror",39,2554.89999999851,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","mirror","trial137mod.mp4","137_mirror",40,2868.5,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial86mod.mp4","86_chase",41,2467.20000000298,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial149mod.mp4","149_chase",42,3912.10000000149,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","mirror","trial283mod.mp4","283_mirror",43,2785.29999999702,1,"incorrect","R1_TTmirror"
"A3MD34XEB4H6JF","chase","trial66mod.mp4","66_chase",44,3732.29999999702,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","mirror","trial53mod.mp4","53_mirror",45,3537.29999999702,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial47mod.mp4","47_chase",46,4271.70000000298,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","mirror","trial198mod.mp4","198_mirror",47,3467.80000000447,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial38mod.mp4","38_chase",48,2459,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial199mod.mp4","199_chase",49,4088.90000000596,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","mirror","trial225mod.mp4","225_mirror",50,4477.5,0,"correct","R0_TTmirror"
"A3MD34XEB4H6JF","chase","trial104mod.mp4","104_chase",51,3356.90000000596,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial117mod.mp4","117_chase",52,4430.09999999404,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial188mod.mp4","188_chase",53,3676,0,"incorrect","R0_TTchase"
"A3MD34XEB4H6JF","chase","trial208mod.mp4","208_chase",54,2570.89999999851,1,"correct","R1_TTchase"
"A3MD34XEB4H6JF","chase","trial157mod.mp4","157_chase",55,3193.79999999702,0,"incorrect","R0_TTchase"
