"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3MYPYBVHX7FQ2","chase","trial266mod.mp4","266_chase",1,3954.80000001192,0,"incorrect","R0_TTchase"
"A3MYPYBVHX7FQ2","chase","trial244mod.mp4","244_chase",2,4877.40000000596,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial175mod.mp4","175_mirror",3,4640.59999999404,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial244mod.mp4","244_mirror",4,4972,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial175mod.mp4","175_chase",5,4543.5,0,"incorrect","R0_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial149mod.mp4","149_mirror",6,5211.59999999404,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial4mod.mp4","4_chase",7,4682.20000001788,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial105mod.mp4","105_mirror",8,4548.59999999404,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial266mod.mp4","266_mirror",9,4698.5,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial149mod.mp4","149_chase",10,5052.40000000596,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial105mod.mp4","105_chase",11,4900,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial4mod.mp4","4_mirror",12,4398.80000001192,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial274mod.mp4","274_chase",13,4865.90000000596,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial133mod.mp4","133_chase",14,4804.59999999404,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial10mod.mp4","10_mirror",15,4309.29999998212,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial167mod.mp4","167_mirror",16,4751.40000000596,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial275mod.mp4","275_mirror",17,4645.5,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial61mod.mp4","61_mirror",18,4828.79999998212,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial154mod.mp4","154_mirror",19,4426.90000000596,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial136mod.mp4","136_mirror",20,4790.09999999404,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial118mod.mp4","118_chase",21,4369.29999998212,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial55mod.mp4","55_chase",22,4288.69999998808,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial77mod.mp4","77_chase",23,4301,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial230mod.mp4","230_chase",24,4347.5,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial18mod.mp4","18_mirror",25,4722.40000000596,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial182mod.mp4","182_chase",26,4794,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial58mod.mp4","58_mirror",27,4313.40000000596,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial15mod.mp4","15_mirror",28,4259,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial28mod.mp4","28_chase",29,4611.39999997616,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial256mod.mp4","256_chase",30,4640.79999998212,0,"incorrect","R0_TTchase"
"A3MYPYBVHX7FQ2","chase","trial10mod.mp4","10_chase",31,4950.5,0,"incorrect","R0_TTchase"
"A3MYPYBVHX7FQ2","chase","trial27mod.mp4","27_chase",32,4545.19999998808,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial285mod.mp4","285_mirror",33,4352.79999998212,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial31mod.mp4","31_mirror",34,4386.09999999404,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial275mod.mp4","275_chase",35,4578.89999997616,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial140mod.mp4","140_chase",36,4434.89999997616,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial102mod.mp4","102_mirror",37,4748.39999997616,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial126mod.mp4","126_chase",38,4534.69999998808,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial139mod.mp4","139_mirror",39,4696.19999998808,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial57mod.mp4","57_chase",40,4680.69999998808,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial177mod.mp4","177_mirror",41,5206.79999998212,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial117mod.mp4","117_chase",42,5458.80000001192,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","chase","trial165mod.mp4","165_chase",43,5228.90000000596,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial257mod.mp4","257_mirror",44,4329.20000001788,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial271mod.mp4","271_chase",45,4762.19999998808,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial207mod.mp4","207_mirror",46,4740.89999997616,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial265mod.mp4","265_mirror",47,4341.20000001788,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial277mod.mp4","277_mirror",48,4513,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial99mod.mp4","99_mirror",49,4977.30000001192,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","mirror","trial296mod.mp4","296_mirror",50,4622.20000001788,1,"incorrect","R1_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial87mod.mp4","87_chase",51,4767,0,"incorrect","R0_TTchase"
"A3MYPYBVHX7FQ2","chase","trial186mod.mp4","186_chase",52,4802.40000000596,1,"correct","R1_TTchase"
"A3MYPYBVHX7FQ2","mirror","trial191mod.mp4","191_mirror",53,4910.5,0,"correct","R0_TTmirror"
"A3MYPYBVHX7FQ2","chase","trial80mod.mp4","80_chase",54,4791,1,"correct","R1_TTchase"
