"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3NXT3OVGL7QNR","chase","trial244mod.mp4","244_chase",1,4741,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial203mod.mp4","203_chase",2,4466,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial130mod.mp4","130_chase",3,5072,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial19mod.mp4","19_mirror",4,4551,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial300mod.mp4","300_mirror",5,4625,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial244mod.mp4","244_mirror",6,4506,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial19mod.mp4","19_chase",7,4418,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial130mod.mp4","130_mirror",8,4446,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial300mod.mp4","300_chase",9,4491,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial74mod.mp4","74_chase",10,4475,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial74mod.mp4","74_mirror",11,4498,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial203mod.mp4","203_mirror",12,4431,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial188mod.mp4","188_mirror",13,4443,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial166mod.mp4","166_chase",14,4420,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial26mod.mp4","26_mirror",15,4429,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial128mod.mp4","128_mirror",16,4411,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial76mod.mp4","76_chase",17,4831,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial149mod.mp4","149_mirror",18,4506,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial131mod.mp4","131_chase",19,4420,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial157mod.mp4","157_mirror",20,4501,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial67mod.mp4","67_chase",21,4456,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","chase","trial142mod.mp4","142_chase",22,4457,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial201mod.mp4","201_mirror",23,4451,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial14mod.mp4","14_mirror",24,4433,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial125mod.mp4","125_chase",25,4542,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial12mod.mp4","12_mirror",26,4643,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial201mod.mp4","201_chase",27,4535,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial28mod.mp4","28_chase",28,4495,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial83mod.mp4","83_mirror",29,4976,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial193mod.mp4","193_chase",30,4448,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial58mod.mp4","58_mirror",31,4683,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial112mod.mp4","112_chase",32,4367,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial118mod.mp4","118_mirror",33,4523,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial86mod.mp4","86_mirror",34,4512,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial150mod.mp4","150_chase",35,4443,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial216mod.mp4","216_chase",36,5638,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial121mod.mp4","121_mirror",37,4374,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial161mod.mp4","161_chase",38,4455,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial276mod.mp4","276_chase",39,4355,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial269mod.mp4","269_mirror",40,4449,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial4mod.mp4","4_mirror",41,4389,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial131mod.mp4","131_mirror",42,4420,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial5mod.mp4","5_chase",43,3851,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial215mod.mp4","215_chase",44,2581,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial188mod.mp4","188_chase",45,4614,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","chase","trial274mod.mp4","274_chase",46,4103,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","chase","trial119mod.mp4","119_chase",47,2318,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial221mod.mp4","221_chase",48,3446,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","chase","trial64mod.mp4","64_chase",49,3360,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial175mod.mp4","175_chase",50,3781,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial71mod.mp4","71_chase",51,1472,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial166mod.mp4","166_mirror",52,4556,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","chase","trial146mod.mp4","146_chase",53,2488,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial247mod.mp4","247_chase",54,2626,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial176mod.mp4","176_mirror",55,4492,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial216mod.mp4","216_mirror",56,4331,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","chase","trial3mod.mp4","3_chase",57,3922,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial14mod.mp4","14_chase",58,4452,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial64mod.mp4","64_mirror",59,3204,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial258mod.mp4","258_chase",60,2473,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial55mod.mp4","55_mirror",61,3294,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial92mod.mp4","92_mirror",62,4400,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial270mod.mp4","270_chase",63,2485,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial37mod.mp4","37_chase",64,2224,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial157mod.mp4","157_chase",65,2735,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial149mod.mp4","149_chase",66,3063,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial111mod.mp4","111_mirror",67,4671,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial176mod.mp4","176_chase",68,3981,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial76mod.mp4","76_mirror",69,3874,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","chase","trial8mod.mp4","8_chase",70,3463,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial62mod.mp4","62_chase",71,4118,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial77mod.mp4","77_mirror",72,4107,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","chase","trial128mod.mp4","128_chase",73,4587,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial181mod.mp4","181_chase",74,2534,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial169mod.mp4","169_chase",75,2614,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial274mod.mp4","274_mirror",76,4009,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial96mod.mp4","96_chase",77,4083,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","chase","trial21mod.mp4","21_chase",78,4659,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial184mod.mp4","184_mirror",79,4441,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial271mod.mp4","271_mirror",80,4612,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial90mod.mp4","90_chase",81,3936,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial124mod.mp4","124_mirror",82,4464,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial40mod.mp4","40_mirror",83,3613,1,"incorrect","R1_TTmirror"
"A3NXT3OVGL7QNR","chase","trial252mod.mp4","252_chase",84,2318,1,"correct","R1_TTchase"
"A3NXT3OVGL7QNR","mirror","trial112mod.mp4","112_mirror",85,4415,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","mirror","trial18mod.mp4","18_mirror",86,4388,0,"correct","R0_TTmirror"
"A3NXT3OVGL7QNR","chase","trial205mod.mp4","205_chase",87,4343,0,"incorrect","R0_TTchase"
"A3NXT3OVGL7QNR","mirror","trial160mod.mp4","160_mirror",88,3239,1,"incorrect","R1_TTmirror"
