"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3PRQ2GSU42718","mirror","trial96mod.mp4","96_mirror",1,5276,0,"correct","R0_TTmirror"
"A3PRQ2GSU42718","chase","trial39mod.mp4","39_chase",2,9573,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","mirror","trial54mod.mp4","54_mirror",3,5548,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","chase","trial54mod.mp4","54_chase",4,9489,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","mirror","trial231mod.mp4","231_mirror",5,5052,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","chase","trial247mod.mp4","247_chase",6,4834,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial96mod.mp4","96_chase",7,4884,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","mirror","trial31mod.mp4","31_mirror",8,4776,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","mirror","trial39mod.mp4","39_mirror",9,4934,0,"correct","R0_TTmirror"
"A3PRQ2GSU42718","mirror","trial247mod.mp4","247_mirror",10,4600,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","chase","trial31mod.mp4","31_chase",11,5404,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial231mod.mp4","231_chase",12,5008,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial33mod.mp4","33_chase",13,4965,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial80mod.mp4","80_chase",14,4712,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial222mod.mp4","222_chase",15,4880,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial12mod.mp4","12_chase",16,4670,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial213mod.mp4","213_chase",17,4725,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","mirror","trial254mod.mp4","254_mirror",18,5364,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","chase","trial107mod.mp4","107_chase",19,5202,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","mirror","trial80mod.mp4","80_mirror",20,4734,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","chase","trial254mod.mp4","254_chase",21,4667,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial207mod.mp4","207_chase",22,4516,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","chase","trial42mod.mp4","42_chase",23,5004,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","mirror","trial215mod.mp4","215_mirror",24,7396,0,"correct","R0_TTmirror"
"A3PRQ2GSU42718","chase","trial179mod.mp4","179_chase",25,5160,1,"correct","R1_TTchase"
"A3PRQ2GSU42718","mirror","trial213mod.mp4","213_mirror",26,4737,0,"correct","R0_TTmirror"
"A3PRQ2GSU42718","chase","trial240mod.mp4","240_chase",27,9436,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial292mod.mp4","292_chase",28,4852,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial182mod.mp4","182_chase",29,4912,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial22mod.mp4","22_chase",30,4680,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","chase","trial136mod.mp4","136_chase",31,5283,0,"incorrect","R0_TTchase"
"A3PRQ2GSU42718","mirror","trial297mod.mp4","297_mirror",32,5067,1,"incorrect","R1_TTmirror"
"A3PRQ2GSU42718","mirror","trial233mod.mp4","233_mirror",33,5241,0,"correct","R0_TTmirror"
