"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A3ROADR7T6811","mirror","trial281mod.mp4","281_mirror",1,7926,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial281mod.mp4","281_chase",2,4649,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial43mod.mp4","43_chase",3,4928,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial274mod.mp4","274_mirror",4,5130,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial160mod.mp4","160_chase",5,5271,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial274mod.mp4","274_chase",6,4707,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial285mod.mp4","285_mirror",7,5050,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial221mod.mp4","221_chase",8,4713,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial285mod.mp4","285_chase",9,4682,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial43mod.mp4","43_mirror",10,4505,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial160mod.mp4","160_mirror",11,4820,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial221mod.mp4","221_mirror",12,4536,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial184mod.mp4","184_chase",13,4252,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial271mod.mp4","271_mirror",14,5127,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial220mod.mp4","220_chase",15,3669,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial86mod.mp4","86_mirror",16,5058,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","mirror","trial262mod.mp4","262_mirror",17,4568,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial266mod.mp4","266_mirror",18,3340,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial13mod.mp4","13_chase",19,4589,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial261mod.mp4","261_chase",20,4922,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial210mod.mp4","210_mirror",21,4134,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial194mod.mp4","194_mirror",22,3977,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial77mod.mp4","77_mirror",23,4321,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial222mod.mp4","222_chase",24,4210,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial284mod.mp4","284_chase",25,4469,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial220mod.mp4","220_mirror",26,4828,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial155mod.mp4","155_chase",27,4707,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial269mod.mp4","269_mirror",28,4411,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial77mod.mp4","77_chase",29,4620,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial153mod.mp4","153_mirror",30,4194,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial53mod.mp4","53_chase",31,4482,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial91mod.mp4","91_mirror",32,4489,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial53mod.mp4","53_mirror",33,4589,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial225mod.mp4","225_chase",34,625,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial299mod.mp4","299_mirror",35,4448,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial74mod.mp4","74_mirror",36,4437,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial70mod.mp4","70_chase",37,3558,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial246mod.mp4","246_chase",38,2187,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial78mod.mp4","78_mirror",39,4768,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial78mod.mp4","78_chase",40,4187,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial94mod.mp4","94_chase",41,3125,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial162mod.mp4","162_mirror",42,3107,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial115mod.mp4","115_mirror",43,4210,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial47mod.mp4","47_mirror",44,3520,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","mirror","trial121mod.mp4","121_mirror",45,4952,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial236mod.mp4","236_chase",46,5283,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial290mod.mp4","290_chase",47,5468,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial15mod.mp4","15_mirror",48,3818,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial144mod.mp4","144_chase",49,4215,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial213mod.mp4","213_mirror",50,4499,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial124mod.mp4","124_chase",51,4294,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial284mod.mp4","284_mirror",52,3810,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial245mod.mp4","245_chase",53,3660,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial136mod.mp4","136_chase",54,3288,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial15mod.mp4","15_chase",55,3056,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial232mod.mp4","232_mirror",56,3658,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial121mod.mp4","121_chase",57,4436,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial32mod.mp4","32_chase",58,4545,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial67mod.mp4","67_chase",59,4139,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial202mod.mp4","202_mirror",60,4409,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial188mod.mp4","188_mirror",61,3223,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial76mod.mp4","76_mirror",62,4533,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial4mod.mp4","4_mirror",63,4546,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial34mod.mp4","34_mirror",64,3230,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial1mod.mp4","1_chase",65,3231,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial145mod.mp4","145_chase",66,4387,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial182mod.mp4","182_chase",67,4411,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial76mod.mp4","76_chase",68,3364,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial95mod.mp4","95_chase",69,3330,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial101mod.mp4","101_mirror",70,3323,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial61mod.mp4","61_chase",71,4490,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial253mod.mp4","253_mirror",72,4411,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","mirror","trial246mod.mp4","246_mirror",73,4608,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial231mod.mp4","231_chase",74,4469,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial108mod.mp4","108_chase",75,2692,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial231mod.mp4","231_mirror",76,4370,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial177mod.mp4","177_mirror",77,4560,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial199mod.mp4","199_mirror",78,4346,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial270mod.mp4","270_chase",79,4004,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial86mod.mp4","86_chase",80,2483,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial161mod.mp4","161_chase",81,4628,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial69mod.mp4","69_mirror",82,4532,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial213mod.mp4","213_chase",83,4848,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial145mod.mp4","145_mirror",84,5363,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial155mod.mp4","155_mirror",85,4448,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial40mod.mp4","40_chase",86,4866,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial91mod.mp4","91_chase",87,3205,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial101mod.mp4","101_chase",88,4517,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial96mod.mp4","96_chase",89,4514,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial197mod.mp4","197_mirror",90,5144,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial171mod.mp4","171_chase",91,4104,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial180mod.mp4","180_chase",92,4250,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial123mod.mp4","123_mirror",93,4351,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial225mod.mp4","225_mirror",94,4134,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial257mod.mp4","257_chase",95,4422,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial257mod.mp4","257_mirror",96,3217,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial79mod.mp4","79_mirror",97,2910,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial152mod.mp4","152_chase",98,4167,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial45mod.mp4","45_mirror",99,3516,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial224mod.mp4","224_mirror",100,3578,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial13mod.mp4","13_mirror",101,3765,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial184mod.mp4","184_mirror",102,4128,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial45mod.mp4","45_chase",103,4492,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial40mod.mp4","40_mirror",104,4544,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial273mod.mp4","273_mirror",105,4381,0,"correct","R0_TTmirror"
"A3ROADR7T6811","mirror","trial187mod.mp4","187_mirror",106,4463,1,"incorrect","R1_TTmirror"
"A3ROADR7T6811","chase","trial197mod.mp4","197_chase",107,4209,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial132mod.mp4","132_chase",108,2715,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial188mod.mp4","188_chase",109,3881,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","mirror","trial250mod.mp4","250_mirror",110,4423,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial273mod.mp4","273_chase",111,3459,1,"correct","R1_TTchase"
"A3ROADR7T6811","chase","trial79mod.mp4","79_chase",112,4597,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial10mod.mp4","10_chase",113,3792,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial280mod.mp4","280_chase",114,4429,0,"incorrect","R0_TTchase"
"A3ROADR7T6811","chase","trial228mod.mp4","228_chase",115,4397,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial222mod.mp4","222_mirror",116,4313,0,"correct","R0_TTmirror"
"A3ROADR7T6811","chase","trial299mod.mp4","299_chase",117,4173,1,"correct","R1_TTchase"
"A3ROADR7T6811","mirror","trial61mod.mp4","61_mirror",118,4473,0,"correct","R0_TTmirror"
