"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A48WNR6C4CI3J","mirror","trial200mod.mp4","200_mirror",1,5224,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial71mod.mp4","71_chase",2,4863,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial36mod.mp4","36_mirror",3,4597,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial200mod.mp4","200_chase",4,4724,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial36mod.mp4","36_chase",5,4630,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial153mod.mp4","153_chase",6,4742,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial149mod.mp4","149_mirror",7,4907,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","mirror","trial247mod.mp4","247_mirror",8,4706,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial153mod.mp4","153_mirror",9,5332,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial149mod.mp4","149_chase",10,4581,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial71mod.mp4","71_mirror",11,4722,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","chase","trial247mod.mp4","247_chase",12,4637,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial114mod.mp4","114_chase",13,4592,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial176mod.mp4","176_chase",14,4771,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial168mod.mp4","168_mirror",15,4631,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","mirror","trial300mod.mp4","300_mirror",16,4724,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial238mod.mp4","238_mirror",17,13449,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","mirror","trial156mod.mp4","156_mirror",18,4786,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial297mod.mp4","297_mirror",19,4661,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial269mod.mp4","269_chase",20,4712,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial217mod.mp4","217_chase",21,4572,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial230mod.mp4","230_chase",22,4518,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial126mod.mp4","126_chase",23,4847,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial196mod.mp4","196_chase",24,4446,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial1mod.mp4","1_chase",25,4737,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial221mod.mp4","221_mirror",26,4603,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial123mod.mp4","123_mirror",27,4591,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","chase","trial55mod.mp4","55_chase",28,4533,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial69mod.mp4","69_chase",29,4698,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial282mod.mp4","282_mirror",30,4895,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial293mod.mp4","293_chase",31,4678,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial174mod.mp4","174_mirror",32,4507,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial68mod.mp4","68_chase",33,4439,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial89mod.mp4","89_chase",34,4518,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial145mod.mp4","145_chase",35,4617,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial193mod.mp4","193_chase",36,4628,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial251mod.mp4","251_chase",37,4585,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial221mod.mp4","221_chase",38,4518,0,"incorrect","R0_TTchase"
"A48WNR6C4CI3J","chase","trial201mod.mp4","201_chase",39,4756,0,"incorrect","R0_TTchase"
"A48WNR6C4CI3J","chase","trial292mod.mp4","292_chase",40,4550,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial297mod.mp4","297_chase",41,4976,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial85mod.mp4","85_mirror",42,4864,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial168mod.mp4","168_chase",43,10850,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial112mod.mp4","112_chase",44,4659,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial212mod.mp4","212_mirror",45,4527,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial155mod.mp4","155_mirror",46,4692,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial179mod.mp4","179_chase",47,4608,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial155mod.mp4","155_chase",48,4814,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial135mod.mp4","135_chase",49,4523,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial147mod.mp4","147_mirror",50,4738,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial23mod.mp4","23_mirror",51,4907,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial117mod.mp4","117_chase",52,4561,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial219mod.mp4","219_chase",53,4809,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial120mod.mp4","120_chase",54,4492,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial7mod.mp4","7_chase",55,4540,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial34mod.mp4","34_chase",56,4689,0,"incorrect","R0_TTchase"
"A48WNR6C4CI3J","mirror","trial139mod.mp4","139_mirror",57,6662,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial230mod.mp4","230_mirror",58,4577,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial30mod.mp4","30_mirror",59,4756,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial239mod.mp4","239_mirror",60,4841,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial161mod.mp4","161_chase",61,5065,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial117mod.mp4","117_mirror",62,4544,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","chase","trial23mod.mp4","23_chase",63,5324,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial34mod.mp4","34_mirror",64,4965,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial161mod.mp4","161_mirror",65,4891,1,"incorrect","R1_TTmirror"
"A48WNR6C4CI3J","chase","trial166mod.mp4","166_chase",66,4587,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial86mod.mp4","86_mirror",67,4541,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial145mod.mp4","145_mirror",68,4622,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial265mod.mp4","265_mirror",69,4519,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial299mod.mp4","299_chase",70,4506,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial210mod.mp4","210_chase",71,4919,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","chase","trial208mod.mp4","208_chase",72,4623,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial107mod.mp4","107_mirror",73,5037,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial126mod.mp4","126_mirror",74,4892,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","mirror","trial81mod.mp4","81_mirror",75,4984,0,"correct","R0_TTmirror"
"A48WNR6C4CI3J","chase","trial107mod.mp4","107_chase",76,4764,0,"incorrect","R0_TTchase"
"A48WNR6C4CI3J","chase","trial48mod.mp4","48_chase",77,5088,1,"correct","R1_TTchase"
"A48WNR6C4CI3J","mirror","trial135mod.mp4","135_mirror",78,5070,1,"incorrect","R1_TTmirror"
