"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"A5NE8TWS8ZV7B","chase","trial186mod.mp4","186_chase",1,5022,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","chase","trial130mod.mp4","130_chase",2,4727,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial130mod.mp4","130_mirror",3,4613,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","chase","trial203mod.mp4","203_chase",4,7267,0,"incorrect","R0_TTchase"
"A5NE8TWS8ZV7B","mirror","trial273mod.mp4","273_mirror",5,4945,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial186mod.mp4","186_mirror",6,4693,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial63mod.mp4","63_mirror",7,4604,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial268mod.mp4","268_chase",8,4647,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial268mod.mp4","268_mirror",9,5015,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","chase","trial273mod.mp4","273_chase",10,4602,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial203mod.mp4","203_mirror",11,4645,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial63mod.mp4","63_chase",12,4734,0,"incorrect","R0_TTchase"
"A5NE8TWS8ZV7B","mirror","trial46mod.mp4","46_mirror",13,4926,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","chase","trial270mod.mp4","270_chase",14,4621,0,"incorrect","R0_TTchase"
"A5NE8TWS8ZV7B","chase","trial147mod.mp4","147_chase",15,4792,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial126mod.mp4","126_mirror",16,4521,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial138mod.mp4","138_mirror",17,4799,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial57mod.mp4","57_chase",18,4638,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial2mod.mp4","2_mirror",19,5123,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial57mod.mp4","57_mirror",20,4822,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial27mod.mp4","27_chase",21,4529,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial169mod.mp4","169_mirror",22,5279,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial126mod.mp4","126_chase",23,4740,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","chase","trial4mod.mp4","4_chase",24,4646,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial164mod.mp4","164_mirror",25,4814,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","chase","trial157mod.mp4","157_chase",26,4697,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","chase","trial206mod.mp4","206_chase",27,4706,0,"incorrect","R0_TTchase"
"A5NE8TWS8ZV7B","chase","trial137mod.mp4","137_chase",28,4600,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","mirror","trial101mod.mp4","101_mirror",29,4634,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial99mod.mp4","99_mirror",30,4910,0,"correct","R0_TTmirror"
"A5NE8TWS8ZV7B","mirror","trial206mod.mp4","206_mirror",31,4578,1,"incorrect","R1_TTmirror"
"A5NE8TWS8ZV7B","chase","trial134mod.mp4","134_chase",32,4870,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","chase","trial73mod.mp4","73_chase",33,4706,1,"correct","R1_TTchase"
"A5NE8TWS8ZV7B","chase","trial22mod.mp4","22_chase",34,4629,0,"incorrect","R0_TTchase"
"A5NE8TWS8ZV7B","chase","trial51mod.mp4","51_chase",35,5110,0,"incorrect","R0_TTchase"
