"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"ACKG8OU1KHKO2","mirror","trial46mod.mp4","46_mirror",1,970.199999928474,1,"incorrect","R1_TTmirror"
"ACKG8OU1KHKO2","mirror","trial186mod.mp4","186_mirror",2,5075,1,"incorrect","R1_TTmirror"
"ACKG8OU1KHKO2","mirror","trial89mod.mp4","89_mirror",3,3884.60000002384,1,"incorrect","R1_TTmirror"
"ACKG8OU1KHKO2","mirror","trial252mod.mp4","252_mirror",4,3653,0,"correct","R0_TTmirror"
"ACKG8OU1KHKO2","chase","trial252mod.mp4","252_chase",5,4556.10000002384,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","chase","trial186mod.mp4","186_chase",6,4970.70000004768,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","chase","trial46mod.mp4","46_chase",7,4922.19999992847,1,"correct","R1_TTchase"
"ACKG8OU1KHKO2","chase","trial89mod.mp4","89_chase",8,4986.20000004768,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","chase","trial114mod.mp4","114_chase",9,4811.10000002384,1,"correct","R1_TTchase"
"ACKG8OU1KHKO2","mirror","trial114mod.mp4","114_mirror",10,2705.09999990463,0,"correct","R0_TTmirror"
"ACKG8OU1KHKO2","mirror","trial110mod.mp4","110_mirror",11,4911.60000002384,0,"correct","R0_TTmirror"
"ACKG8OU1KHKO2","chase","trial110mod.mp4","110_chase",12,5101.80000007153,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","chase","trial270mod.mp4","270_chase",13,4649.89999997616,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","chase","trial58mod.mp4","58_chase",14,4227.39999997616,0,"incorrect","R0_TTchase"
"ACKG8OU1KHKO2","mirror","trial214mod.mp4","214_mirror",15,12933,0,"correct","R0_TTmirror"
"ACKG8OU1KHKO2","chase","trial142mod.mp4","142_chase",16,4355,1,"correct","R1_TTchase"
