"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AIEKCWYZTS41V","chase","trial16mod.mp4","16_chase",1,1601.40000003576,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial296mod.mp4","296_mirror",2,1427.09999996424,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","chase","trial267mod.mp4","267_chase",3,1294.10000002384,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial267mod.mp4","267_mirror",4,838.199999988079,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial141mod.mp4","141_chase",5,1360.39999997616,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial127mod.mp4","127_mirror",6,1366,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","mirror","trial16mod.mp4","16_mirror",7,1666.80000001192,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","mirror","trial24mod.mp4","24_mirror",8,1665.70000004768,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial296mod.mp4","296_chase",9,1644.10000002384,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","chase","trial127mod.mp4","127_chase",10,943.600000023842,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","chase","trial24mod.mp4","24_chase",11,1083.80000001192,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial141mod.mp4","141_mirror",12,1709,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial281mod.mp4","281_chase",13,1517.39999997616,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","chase","trial193mod.mp4","193_chase",14,1175.69999998808,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial298mod.mp4","298_mirror",15,1438.90000003576,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","mirror","trial270mod.mp4","270_mirror",16,1047.89999997616,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","mirror","trial101mod.mp4","101_mirror",17,1572.5,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","mirror","trial154mod.mp4","154_mirror",18,1551.69999998808,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","chase","trial263mod.mp4","263_chase",19,1647.30000001192,0,"incorrect","R0_TTchase"
"AIEKCWYZTS41V","mirror","trial295mod.mp4","295_mirror",20,1294.90000003576,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","chase","trial261mod.mp4","261_chase",21,1320.39999997616,0,"incorrect","R0_TTchase"
"AIEKCWYZTS41V","chase","trial22mod.mp4","22_chase",22,1726.40000003576,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","chase","trial103mod.mp4","103_chase",23,1689.69999998808,0,"incorrect","R0_TTchase"
"AIEKCWYZTS41V","mirror","trial66mod.mp4","66_mirror",24,1892.90000003576,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial265mod.mp4","265_chase",25,1676.90000003576,0,"incorrect","R0_TTchase"
"AIEKCWYZTS41V","mirror","trial160mod.mp4","160_mirror",26,2139.60000002384,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","mirror","trial246mod.mp4","246_mirror",27,1172.30000001192,1,"incorrect","R1_TTmirror"
"AIEKCWYZTS41V","chase","trial130mod.mp4","130_chase",28,1177.09999996424,1,"correct","R1_TTchase"
"AIEKCWYZTS41V","mirror","trial58mod.mp4","58_mirror",29,1723.5,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial107mod.mp4","107_chase",30,1520.39999997616,0,"incorrect","R0_TTchase"
"AIEKCWYZTS41V","mirror","trial45mod.mp4","45_mirror",31,1662.5,0,"correct","R0_TTmirror"
"AIEKCWYZTS41V","chase","trial269mod.mp4","269_chase",32,1778.80000001192,1,"correct","R1_TTchase"
