"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AL51KTD0WITH9","mirror","trial84mod.mp4","84_mirror",1,4217,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial61mod.mp4","61_mirror",2,6893.79999998212,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial84mod.mp4","84_chase",3,2554.40000000596,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial72mod.mp4","72_chase",4,3016.19999998808,0,"incorrect","R0_TTchase"
"AL51KTD0WITH9","chase","trial66mod.mp4","66_chase",5,5124.30000001192,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial87mod.mp4","87_mirror",6,1764,1,"incorrect","R1_TTmirror"
"AL51KTD0WITH9","chase","trial184mod.mp4","184_chase",7,3862.29999998212,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial72mod.mp4","72_mirror",8,3318.40000000596,1,"incorrect","R1_TTmirror"
"AL51KTD0WITH9","chase","trial61mod.mp4","61_chase",9,2932.69999998808,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial66mod.mp4","66_mirror",10,3605.79999998212,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial87mod.mp4","87_chase",11,1547.5,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial184mod.mp4","184_mirror",12,3288.5,1,"incorrect","R1_TTmirror"
"AL51KTD0WITH9","mirror","trial109mod.mp4","109_mirror",13,3149.60000002384,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial280mod.mp4","280_chase",14,2601.59999999404,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial279mod.mp4","279_chase",15,3825.69999998808,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial58mod.mp4","58_chase",16,3913.5,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial270mod.mp4","270_mirror",17,4852.80000001192,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial220mod.mp4","220_mirror",18,7110,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial64mod.mp4","64_mirror",19,3485.40000000596,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial157mod.mp4","157_chase",20,1954.10000002384,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial101mod.mp4","101_mirror",21,4655.09999999404,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial177mod.mp4","177_chase",22,3810.29999998212,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial255mod.mp4","255_mirror",23,3013.80000001192,1,"incorrect","R1_TTmirror"
"AL51KTD0WITH9","chase","trial91mod.mp4","91_chase",24,3299.19999998808,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial292mod.mp4","292_chase",25,3087.70000001788,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial270mod.mp4","270_chase",26,4089.69999998808,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial30mod.mp4","30_mirror",27,5047.69999998808,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial52mod.mp4","52_mirror",28,4856.5,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial298mod.mp4","298_chase",29,5355.70000001788,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial116mod.mp4","116_mirror",30,4834.09999999404,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial81mod.mp4","81_mirror",31,4635.39999997616,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","mirror","trial97mod.mp4","97_mirror",32,4967.70000001788,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial116mod.mp4","116_chase",33,4033.79999998212,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial283mod.mp4","283_chase",34,3455.79999998212,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial164mod.mp4","164_mirror",35,3657.79999998212,1,"incorrect","R1_TTmirror"
"AL51KTD0WITH9","mirror","trial228mod.mp4","228_mirror",36,5027.5,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial97mod.mp4","97_chase",37,2682.60000002384,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial65mod.mp4","65_mirror",38,4738,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial21mod.mp4","21_chase",39,4732.80000001192,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial247mod.mp4","247_chase",40,4563.20000001788,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial110mod.mp4","110_chase",41,5055.20000001788,0,"incorrect","R0_TTchase"
"AL51KTD0WITH9","chase","trial81mod.mp4","81_chase",42,5134.5,1,"correct","R1_TTchase"
"AL51KTD0WITH9","mirror","trial21mod.mp4","21_mirror",43,4662.79999998212,0,"correct","R0_TTmirror"
"AL51KTD0WITH9","chase","trial122mod.mp4","122_chase",44,5478.70000001788,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial101mod.mp4","101_chase",45,4633.70000001788,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial111mod.mp4","111_chase",46,3982.5,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial24mod.mp4","24_chase",47,3807.5,1,"correct","R1_TTchase"
"AL51KTD0WITH9","chase","trial14mod.mp4","14_chase",48,5386.60000002384,0,"incorrect","R0_TTchase"
