"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AMLWYWZOMONLB","chase","trial192mod.mp4","192_chase",1,7386.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial195mod.mp4","195_chase",2,3464.5,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial90mod.mp4","90_chase",3,5717.70000004768,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial8mod.mp4","8_mirror",4,4539,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","chase","trial35mod.mp4","35_chase",5,5020.60000002384,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial300mod.mp4","300_mirror",6,4875.69999998808,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","chase","trial300mod.mp4","300_chase",7,1594,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial8mod.mp4","8_chase",8,3471.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial192mod.mp4","192_mirror",9,5315.30000001192,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","mirror","trial35mod.mp4","35_mirror",10,4502.59999996424,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial195mod.mp4","195_mirror",11,4707.59999996424,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial90mod.mp4","90_mirror",12,4314.19999998808,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial246mod.mp4","246_mirror",13,4935,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial98mod.mp4","98_mirror",14,5253.30000001192,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial110mod.mp4","110_mirror",15,4795.5,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial242mod.mp4","242_chase",16,3876.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial282mod.mp4","282_chase",17,3969.60000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial174mod.mp4","174_chase",18,2803.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial214mod.mp4","214_chase",19,5321.5,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial272mod.mp4","272_mirror",20,4872.5,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial68mod.mp4","68_mirror",21,4979.30000001192,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial203mod.mp4","203_mirror",22,5503,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial70mod.mp4","70_chase",23,2817.30000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial78mod.mp4","78_mirror",24,4896.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial185mod.mp4","185_mirror",25,5065.09999996424,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial45mod.mp4","45_chase",26,5034.19999998808,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","chase","trial149mod.mp4","149_chase",27,4411.30000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial205mod.mp4","205_chase",28,4904.59999996424,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial183mod.mp4","183_mirror",29,4926.80000001192,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","chase","trial200mod.mp4","200_chase",30,3754.80000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial48mod.mp4","48_mirror",31,4803.59999996424,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial149mod.mp4","149_mirror",32,4582.29999995232,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial127mod.mp4","127_chase",33,3513.69999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial53mod.mp4","53_chase",34,4839.5,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial70mod.mp4","70_mirror",35,5004,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial280mod.mp4","280_chase",36,4048.80000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial27mod.mp4","27_chase",37,3724.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial15mod.mp4","15_mirror",38,4072.19999998808,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial298mod.mp4","298_chase",39,4624.80000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial161mod.mp4","161_mirror",40,4727.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial110mod.mp4","110_chase",41,4309.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial32mod.mp4","32_chase",42,4824.5,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","chase","trial158mod.mp4","158_chase",43,2549.20000004768,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial223mod.mp4","223_mirror",44,4396.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial235mod.mp4","235_mirror",45,4611.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial286mod.mp4","286_mirror",46,2616.19999998808,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","chase","trial15mod.mp4","15_chase",47,5237,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial280mod.mp4","280_mirror",48,1802.30000001192,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","chase","trial115mod.mp4","115_chase",49,4056,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial113mod.mp4","113_chase",50,2966.09999996424,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial201mod.mp4","201_mirror",51,4727.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial91mod.mp4","91_mirror",52,3689.10000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial156mod.mp4","156_chase",53,3570.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial186mod.mp4","186_chase",54,3584.69999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial111mod.mp4","111_mirror",55,4718.39999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial174mod.mp4","174_mirror",56,4443.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial210mod.mp4","210_chase",57,2698.09999996424,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial252mod.mp4","252_mirror",58,4283.20000004768,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial18mod.mp4","18_chase",59,2975.39999997616,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial68mod.mp4","68_chase",60,3866,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial3mod.mp4","3_chase",61,4934.19999998808,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial127mod.mp4","127_mirror",62,4394.29999995232,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial286mod.mp4","286_chase",63,4549.80000001192,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","chase","trial223mod.mp4","223_chase",64,4862.80000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial156mod.mp4","156_mirror",65,5251,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial69mod.mp4","69_mirror",66,4350.90000003576,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial284mod.mp4","284_chase",67,4377.39999997616,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial241mod.mp4","241_mirror",68,4319,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial235mod.mp4","235_chase",69,2520.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial258mod.mp4","258_chase",70,3590.80000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial6mod.mp4","6_mirror",71,4210.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial87mod.mp4","87_chase",72,4326.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial69mod.mp4","69_chase",73,4325.70000004768,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial159mod.mp4","159_chase",74,3142.29999995232,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial187mod.mp4","187_mirror",75,2526.89999997616,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial294mod.mp4","294_chase",76,2683.10000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial275mod.mp4","275_chase",77,3186.90000003576,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial54mod.mp4","54_mirror",78,2849.90000003576,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial36mod.mp4","36_chase",79,2017.69999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial36mod.mp4","36_mirror",80,4692.20000004768,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial148mod.mp4","148_mirror",81,3520.29999995232,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial295mod.mp4","295_mirror",82,3635.10000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial65mod.mp4","65_chase",83,3201.40000003576,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","chase","trial111mod.mp4","111_chase",84,3367.20000004768,0,"incorrect","R0_TTchase"
"AMLWYWZOMONLB","mirror","trial66mod.mp4","66_mirror",85,3477.60000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial208mod.mp4","208_chase",86,3828.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial228mod.mp4","228_chase",87,3249.19999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial125mod.mp4","125_chase",88,4348.90000003576,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial233mod.mp4","233_mirror",89,4323.30000001192,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial246mod.mp4","246_chase",90,2293.40000003576,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial144mod.mp4","144_mirror",91,3215.10000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial241mod.mp4","241_chase",92,3479.30000001192,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial124mod.mp4","124_mirror",93,3475.10000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial208mod.mp4","208_mirror",94,3000.5,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial220mod.mp4","220_mirror",95,3223.80000001192,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial203mod.mp4","203_chase",96,4688.60000002384,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial16mod.mp4","16_mirror",97,4811.60000002384,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial150mod.mp4","150_chase",98,3710.40000003576,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial117mod.mp4","117_mirror",99,5005.70000004768,1,"incorrect","R1_TTmirror"
"AMLWYWZOMONLB","mirror","trial258mod.mp4","258_mirror",100,4516.09999996424,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","mirror","trial132mod.mp4","132_mirror",101,4410.30000001192,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial26mod.mp4","26_chase",102,3866.69999998808,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","chase","trial78mod.mp4","78_chase",103,4388.09999996424,1,"correct","R1_TTchase"
"AMLWYWZOMONLB","mirror","trial294mod.mp4","294_mirror",104,4809.5,0,"correct","R0_TTmirror"
"AMLWYWZOMONLB","chase","trial161mod.mp4","161_chase",105,4679.69999998808,1,"correct","R1_TTchase"
