"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AMPR904VJJFZY","chase","trial110mod.mp4","110_chase",1,1724.60000000149,0,"incorrect","R0_TTchase"
"AMPR904VJJFZY","mirror","trial159mod.mp4","159_mirror",2,3262.10000000149,1,"incorrect","R1_TTmirror"
"AMPR904VJJFZY","mirror","trial238mod.mp4","238_mirror",3,4831.10000000149,0,"correct","R0_TTmirror"
"AMPR904VJJFZY","chase","trial238mod.mp4","238_chase",4,4848.19999999925,1,"correct","R1_TTchase"
"AMPR904VJJFZY","mirror","trial110mod.mp4","110_mirror",5,4594.29999999702,1,"incorrect","R1_TTmirror"
"AMPR904VJJFZY","chase","trial31mod.mp4","31_chase",6,3727,1,"correct","R1_TTchase"
"AMPR904VJJFZY","mirror","trial85mod.mp4","85_mirror",7,1717.69999999925,1,"incorrect","R1_TTmirror"
"AMPR904VJJFZY","chase","trial159mod.mp4","159_chase",8,3690.80000000075,1,"correct","R1_TTchase"
"AMPR904VJJFZY","mirror","trial31mod.mp4","31_mirror",9,4497.5,1,"incorrect","R1_TTmirror"
"AMPR904VJJFZY","mirror","trial259mod.mp4","259_mirror",10,5070.19999999925,0,"correct","R0_TTmirror"
"AMPR904VJJFZY","chase","trial85mod.mp4","85_chase",11,3206.5,1,"correct","R1_TTchase"
"AMPR904VJJFZY","chase","trial259mod.mp4","259_chase",12,4834.39999999851,1,"correct","R1_TTchase"
"AMPR904VJJFZY","mirror","trial147mod.mp4","147_mirror",13,4956.19999999925,0,"correct","R0_TTmirror"
"AMPR904VJJFZY","chase","trial38mod.mp4","38_chase",14,3471.59999999776,1,"correct","R1_TTchase"
"AMPR904VJJFZY","chase","trial239mod.mp4","239_chase",15,4881.69999999925,1,"correct","R1_TTchase"
"AMPR904VJJFZY","chase","trial135mod.mp4","135_chase",16,4013.5,1,"correct","R1_TTchase"
"AMPR904VJJFZY","mirror","trial141mod.mp4","141_mirror",17,3151.5,0,"correct","R0_TTmirror"
