"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"ARL4T9U18Q3FS","chase","trial291mod.mp4","291_chase",1,2824.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial291mod.mp4","291_mirror",2,4577.79999995232,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial280mod.mp4","280_mirror",3,4716.19999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial179mod.mp4","179_chase",4,4802.69999998808,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial214mod.mp4","214_mirror",5,4671.90000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial179mod.mp4","179_mirror",6,5095.10000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial73mod.mp4","73_chase",7,4888.80000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial214mod.mp4","214_chase",8,4881.30000001192,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial73mod.mp4","73_mirror",9,4679,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial280mod.mp4","280_chase",10,4626.5,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial247mod.mp4","247_mirror",11,4843.10000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial247mod.mp4","247_chase",12,4581.19999998808,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial194mod.mp4","194_mirror",13,4565.90000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial131mod.mp4","131_chase",14,4598.79999995232,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial122mod.mp4","122_chase",15,4636.19999998808,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial127mod.mp4","127_mirror",16,4993.69999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial177mod.mp4","177_chase",17,4614.60000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial258mod.mp4","258_mirror",18,4710.20000004768,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial150mod.mp4","150_chase",19,4752,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial139mod.mp4","139_chase",20,4538.80000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial237mod.mp4","237_mirror",21,4845.5,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial83mod.mp4","83_mirror",22,4634.80000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial260mod.mp4","260_mirror",23,4570.30000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial121mod.mp4","121_mirror",24,4611.29999995232,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial84mod.mp4","84_mirror",25,4561.10000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial178mod.mp4","178_mirror",26,4762.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial159mod.mp4","159_chase",27,4449.69999998808,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial167mod.mp4","167_chase",28,4584.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial293mod.mp4","293_mirror",29,4500.69999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial194mod.mp4","194_chase",30,4653.60000002384,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial197mod.mp4","197_mirror",31,4619,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial59mod.mp4","59_chase",32,4442.19999998808,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial201mod.mp4","201_chase",33,4447.69999998808,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial229mod.mp4","229_chase",34,4472,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial265mod.mp4","265_chase",35,4492,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial81mod.mp4","81_chase",36,5603,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial128mod.mp4","128_mirror",37,4452.89999997616,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial141mod.mp4","141_chase",38,4488.40000003576,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial232mod.mp4","232_chase",39,4626.89999997616,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial212mod.mp4","212_chase",40,4477.80000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial81mod.mp4","81_mirror",41,4440,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial98mod.mp4","98_chase",42,4410.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial215mod.mp4","215_chase",43,4504.5,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial178mod.mp4","178_chase",44,4587.70000004768,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial82mod.mp4","82_chase",45,4403.09999996424,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial32mod.mp4","32_mirror",46,4458.30000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial175mod.mp4","175_mirror",47,4679.09999996424,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial205mod.mp4","205_chase",48,4703.30000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial102mod.mp4","102_mirror",49,4427.69999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial110mod.mp4","110_chase",50,4441.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial56mod.mp4","56_mirror",51,4479.09999996424,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial171mod.mp4","171_mirror",52,4716.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial203mod.mp4","203_mirror",53,4447.30000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial185mod.mp4","185_mirror",54,4508.90000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial290mod.mp4","290_chase",55,4540.69999998808,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial139mod.mp4","139_mirror",56,4564.30000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial262mod.mp4","262_mirror",57,4624,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial184mod.mp4","184_chase",58,4513.60000002384,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial102mod.mp4","102_chase",59,4495.30000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial232mod.mp4","232_mirror",60,4491.80000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial217mod.mp4","217_mirror",61,4461.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial193mod.mp4","193_mirror",62,4749.19999998808,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","chase","trial79mod.mp4","79_chase",63,4420,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial49mod.mp4","49_chase",64,4366.30000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial237mod.mp4","237_chase",65,4557.39999997616,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial149mod.mp4","149_mirror",66,4432.90000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial258mod.mp4","258_chase",67,4468.40000003576,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial251mod.mp4","251_mirror",68,4461.30000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial103mod.mp4","103_chase",69,4506.40000003576,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial92mod.mp4","92_mirror",70,4429,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial241mod.mp4","241_chase",71,4382.70000004768,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial282mod.mp4","282_mirror",72,4468.09999996424,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial19mod.mp4","19_mirror",73,4355.40000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial207mod.mp4","207_mirror",74,4448.89999997616,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial123mod.mp4","123_chase",75,5332.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial207mod.mp4","207_chase",76,4464.89999997616,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial68mod.mp4","68_chase",77,4442.60000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial84mod.mp4","84_chase",78,5806.80000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial211mod.mp4","211_chase",79,4557.40000003576,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","chase","trial175mod.mp4","175_chase",80,4523.5,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial177mod.mp4","177_mirror",81,4525.39999997616,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial43mod.mp4","43_mirror",82,4362.80000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial1mod.mp4","1_mirror",83,4536.39999997616,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial150mod.mp4","150_mirror",84,4629.19999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial173mod.mp4","173_chase",85,4377,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial167mod.mp4","167_mirror",86,4605.40000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial292mod.mp4","292_chase",87,4448.79999995232,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial230mod.mp4","230_chase",88,4420.19999998808,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial217mod.mp4","217_chase",89,4518,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial201mod.mp4","201_mirror",90,5674.5,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial212mod.mp4","212_mirror",91,4494.20000004768,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial191mod.mp4","191_mirror",92,4586.10000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial162mod.mp4","162_chase",93,4413.80000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial22mod.mp4","22_chase",94,4403.39999997616,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial298mod.mp4","298_chase",95,5710.60000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial290mod.mp4","290_mirror",96,4444.40000003576,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial103mod.mp4","103_mirror",97,4445.89999997616,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial68mod.mp4","68_mirror",98,4575.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial203mod.mp4","203_chase",99,4728.19999998808,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial109mod.mp4","109_mirror",100,4435.70000004768,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial86mod.mp4","86_mirror",101,4443.69999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial204mod.mp4","204_chase",102,4403.20000004768,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial188mod.mp4","188_mirror",103,4513.19999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial289mod.mp4","289_mirror",104,4419.70000004768,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial193mod.mp4","193_chase",105,4540.29999995232,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial192mod.mp4","192_chase",106,4413.40000003576,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial98mod.mp4","98_mirror",107,4453.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial32mod.mp4","32_chase",108,4502,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial99mod.mp4","99_chase",109,4613,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial197mod.mp4","197_chase",110,4912.10000002384,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial125mod.mp4","125_mirror",111,4396.10000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial282mod.mp4","282_chase",112,4549.10000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial128mod.mp4","128_chase",113,4458.90000003576,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial205mod.mp4","205_mirror",114,4473.19999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial262mod.mp4","262_chase",115,4415.60000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial76mod.mp4","76_mirror",116,4411.69999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial82mod.mp4","82_mirror",117,4546.20000004768,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial148mod.mp4","148_mirror",118,4387.29999995232,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial159mod.mp4","159_mirror",119,4447.19999998808,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial125mod.mp4","125_chase",120,4421.5,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial106mod.mp4","106_chase",121,4577.60000002384,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial49mod.mp4","49_mirror",122,4465.60000002384,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial253mod.mp4","253_mirror",123,4438.59999996424,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial239mod.mp4","239_chase",124,4489.30000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","chase","trial288mod.mp4","288_chase",125,4424.30000001192,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial180mod.mp4","180_mirror",126,4462.80000001192,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial190mod.mp4","190_mirror",127,4339,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial292mod.mp4","292_mirror",128,4402.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial76mod.mp4","76_chase",129,4476.10000002384,0,"incorrect","R0_TTchase"
"ARL4T9U18Q3FS","mirror","trial300mod.mp4","300_mirror",130,4471.59999996424,1,"incorrect","R1_TTmirror"
"ARL4T9U18Q3FS","mirror","trial95mod.mp4","95_mirror",131,4671.89999997616,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","mirror","trial22mod.mp4","22_mirror",132,4364.5,0,"correct","R0_TTmirror"
"ARL4T9U18Q3FS","chase","trial273mod.mp4","273_chase",133,4909.5,1,"correct","R1_TTchase"
"ARL4T9U18Q3FS","mirror","trial164mod.mp4","164_mirror",134,4431.19999998808,0,"correct","R0_TTmirror"
