"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"ARRDHASPCGP4L","mirror","trial86mod.mp4","86_mirror",1,2455.89999985695,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial86mod.mp4","86_chase",2,3886.39999985695,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial93mod.mp4","93_chase",3,2140.5,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial93mod.mp4","93_mirror",4,3803.20000004768,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial30mod.mp4","30_mirror",5,1717.09999990463,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial19mod.mp4","19_mirror",6,2895.59999990463,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial122mod.mp4","122_mirror",7,4103.79999995232,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","chase","trial176mod.mp4","176_chase",8,2869.60000014305,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial122mod.mp4","122_chase",9,2939.5,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial30mod.mp4","30_chase",10,3418.20000004768,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial19mod.mp4","19_chase",11,1881.70000004768,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial176mod.mp4","176_mirror",12,4042.79999995232,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial66mod.mp4","66_mirror",13,3717.59999990463,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","mirror","trial258mod.mp4","258_mirror",14,3321.89999985695,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial150mod.mp4","150_chase",15,4006.20000004768,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial161mod.mp4","161_mirror",16,1563.09999990463,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial62mod.mp4","62_mirror",17,3641,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","mirror","trial147mod.mp4","147_mirror",18,5427.5,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial77mod.mp4","77_mirror",19,3608,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial276mod.mp4","276_mirror",20,3210.70000004768,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial203mod.mp4","203_chase",21,2705.30000019073,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial101mod.mp4","101_chase",22,2638.09999990463,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial293mod.mp4","293_chase",23,2501.09999990463,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial100mod.mp4","100_chase",24,3315.80000019073,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial277mod.mp4","277_chase",25,4965.09999990463,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial94mod.mp4","94_mirror",26,3550.70000004768,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","chase","trial147mod.mp4","147_chase",27,3462.39999985695,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial209mod.mp4","209_mirror",28,3428.10000014305,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial12mod.mp4","12_chase",29,3787.90000009537,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial195mod.mp4","195_chase",30,4059.90000009537,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial261mod.mp4","261_mirror",31,2989.70000004768,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","chase","trial178mod.mp4","178_chase",32,2145.29999995232,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial212mod.mp4","212_mirror",33,2692.20000004768,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial174mod.mp4","174_mirror",34,2483.70000004768,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial241mod.mp4","241_chase",35,1756.09999990463,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial300mod.mp4","300_chase",36,3172.59999990463,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial110mod.mp4","110_mirror",37,2745.10000014305,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","chase","trial212mod.mp4","212_chase",38,1657.70000004768,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial64mod.mp4","64_chase",39,3365.5,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial199mod.mp4","199_chase",40,2185.20000004768,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","chase","trial23mod.mp4","23_chase",41,2425.60000014305,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial216mod.mp4","216_mirror",42,2797.60000014305,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial77mod.mp4","77_chase",43,3931.09999990463,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","chase","trial186mod.mp4","186_chase",44,4015.40000009537,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial294mod.mp4","294_mirror",45,3131.19999980927,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial94mod.mp4","94_chase",46,3213,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial299mod.mp4","299_mirror",47,3356.70000004768,1,"incorrect","R1_TTmirror"
"ARRDHASPCGP4L","chase","trial239mod.mp4","239_chase",48,3026.90000009537,0,"incorrect","R0_TTchase"
"ARRDHASPCGP4L","mirror","trial124mod.mp4","124_mirror",49,2958.5,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","chase","trial231mod.mp4","231_chase",50,3327.70000004768,1,"correct","R1_TTchase"
"ARRDHASPCGP4L","mirror","trial40mod.mp4","40_mirror",51,2897.20000004768,0,"correct","R0_TTmirror"
"ARRDHASPCGP4L","mirror","trial239mod.mp4","239_mirror",52,3683.20000004768,0,"correct","R0_TTmirror"
