"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AVFMTS8A5R4XK","chase","trial256mod.mp4","256_chase",1,759.299999713898,1,"correct","R1_TTchase"
"AVFMTS8A5R4XK","mirror","trial256mod.mp4","256_mirror",2,1600.40000009537,1,"incorrect","R1_TTmirror"
"AVFMTS8A5R4XK","mirror","trial200mod.mp4","200_mirror",3,1590,0,"correct","R0_TTmirror"
"AVFMTS8A5R4XK","mirror","trial60mod.mp4","60_mirror",4,1271.19999980927,0,"correct","R0_TTmirror"
"AVFMTS8A5R4XK","mirror","trial207mod.mp4","207_mirror",5,1537.40000009537,1,"incorrect","R1_TTmirror"
"AVFMTS8A5R4XK","chase","trial200mod.mp4","200_chase",6,1391.7000002861,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","chase","trial60mod.mp4","60_chase",7,667.300000190735,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","mirror","trial82mod.mp4","82_mirror",8,791.699999809265,1,"incorrect","R1_TTmirror"
"AVFMTS8A5R4XK","chase","trial191mod.mp4","191_chase",9,11.3000001907349,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","mirror","trial191mod.mp4","191_mirror",10,186,0,"correct","R0_TTmirror"
"AVFMTS8A5R4XK","chase","trial207mod.mp4","207_chase",11,205.400000095367,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","chase","trial82mod.mp4","82_chase",12,284.200000286102,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","chase","trial241mod.mp4","241_chase",13,1430.59999990463,0,"incorrect","R0_TTchase"
"AVFMTS8A5R4XK","chase","trial169mod.mp4","169_chase",14,824.200000286102,1,"correct","R1_TTchase"
"AVFMTS8A5R4XK","mirror","trial93mod.mp4","93_mirror",15,797.400000095367,0,"correct","R0_TTmirror"
"AVFMTS8A5R4XK","chase","trial98mod.mp4","98_chase",16,855.099999904633,1,"correct","R1_TTchase"
"AVFMTS8A5R4XK","mirror","trial3mod.mp4","3_mirror",17,752.800000190735,1,"incorrect","R1_TTmirror"
"AVFMTS8A5R4XK","mirror","trial156mod.mp4","156_mirror",18,777.699999809265,0,"correct","R0_TTmirror"
"AVFMTS8A5R4XK","mirror","trial119mod.mp4","119_mirror",19,846,0,"correct","R0_TTmirror"
