"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AXPZAP62ZYWP8","mirror","trial131mod.mp4","131_mirror",1,4729.69999992847,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial11mod.mp4","11_mirror",2,4648.79999995232,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial130mod.mp4","130_mirror",3,4545,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial224mod.mp4","224_mirror",4,4555.10000002384,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial39mod.mp4","39_mirror",5,4684.79999995232,1,"incorrect","R1_TTmirror"
"AXPZAP62ZYWP8","mirror","trial208mod.mp4","208_mirror",6,4413.20000004768,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial130mod.mp4","130_chase",7,4710,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","chase","trial39mod.mp4","39_chase",8,4912.79999995232,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial131mod.mp4","131_chase",9,4357.39999997616,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial224mod.mp4","224_chase",10,4572.59999990463,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial208mod.mp4","208_chase",11,4644.29999995232,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial11mod.mp4","11_chase",12,4678.5,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial181mod.mp4","181_chase",13,4541.39999997616,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial194mod.mp4","194_mirror",14,4707.40000009537,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial154mod.mp4","154_chase",15,4500.20000004768,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial123mod.mp4","123_mirror",16,4733.20000004768,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial126mod.mp4","126_mirror",17,4753.5,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial135mod.mp4","135_chase",18,4375.39999997616,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial148mod.mp4","148_chase",19,4552.09999990463,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial274mod.mp4","274_mirror",20,4462,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial234mod.mp4","234_mirror",21,4392.10000002384,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial283mod.mp4","283_chase",22,4542.60000002384,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","mirror","trial174mod.mp4","174_mirror",23,4432.70000004768,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial253mod.mp4","253_chase",24,4397.20000004768,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","chase","trial106mod.mp4","106_chase",25,4613.80000007153,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","mirror","trial38mod.mp4","38_mirror",26,4465.60000002384,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial183mod.mp4","183_chase",27,4481.5,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","chase","trial263mod.mp4","263_chase",28,4613.20000004768,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial106mod.mp4","106_mirror",29,4559.39999997616,1,"incorrect","R1_TTmirror"
"AXPZAP62ZYWP8","mirror","trial176mod.mp4","176_mirror",30,4367.30000007153,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial16mod.mp4","16_mirror",31,4563.70000004768,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial12mod.mp4","12_chase",32,4930.89999997616,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial201mod.mp4","201_chase",33,4792.30000007153,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","mirror","trial79mod.mp4","79_mirror",34,4624.60000002384,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial101mod.mp4","101_mirror",35,4450.89999997616,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial132mod.mp4","132_chase",36,4494.39999997616,0,"incorrect","R0_TTchase"
"AXPZAP62ZYWP8","mirror","trial281mod.mp4","281_mirror",37,4704.29999995232,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","mirror","trial12mod.mp4","12_mirror",38,4366.80000007153,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial227mod.mp4","227_chase",39,4782.90000009537,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial100mod.mp4","100_mirror",40,4394.39999997616,0,"correct","R0_TTmirror"
"AXPZAP62ZYWP8","chase","trial16mod.mp4","16_chase",41,4395.59999990463,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","chase","trial269mod.mp4","269_chase",42,4775.79999995232,1,"correct","R1_TTchase"
"AXPZAP62ZYWP8","mirror","trial209mod.mp4","209_mirror",43,4734.29999995232,0,"correct","R0_TTmirror"
