"workerId","trialType","stim","trialCond","index","rt","chaseR","response","cells"
"AZNIEFUIVB2H0","mirror","trial17mod.mp4","17_mirror",1,5439,1,"incorrect","R1_TTmirror"
"AZNIEFUIVB2H0","chase","trial282mod.mp4","282_chase",2,4852,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","mirror","trial269mod.mp4","269_mirror",3,4850,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial94mod.mp4","94_chase",4,5147,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial31mod.mp4","31_chase",5,5050,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial282mod.mp4","282_mirror",6,4744,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial269mod.mp4","269_chase",7,4815,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","chase","trial17mod.mp4","17_chase",8,4880,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial20mod.mp4","20_mirror",9,4762,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial31mod.mp4","31_mirror",10,4848,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial20mod.mp4","20_chase",11,4732,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial94mod.mp4","94_mirror",12,4780,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial250mod.mp4","250_mirror",13,4687,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial28mod.mp4","28_chase",14,4781,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","mirror","trial128mod.mp4","128_mirror",15,4918,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial63mod.mp4","63_chase",16,4690,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial75mod.mp4","75_mirror",17,4793,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial289mod.mp4","289_chase",18,4835,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial39mod.mp4","39_chase",19,4960,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial231mod.mp4","231_chase",20,4821,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","mirror","trial195mod.mp4","195_mirror",21,5092,1,"incorrect","R1_TTmirror"
"AZNIEFUIVB2H0","mirror","trial178mod.mp4","178_mirror",22,4897,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial22mod.mp4","22_chase",23,4817,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","chase","trial40mod.mp4","40_chase",24,5146,0,"incorrect","R0_TTchase"
"AZNIEFUIVB2H0","chase","trial105mod.mp4","105_chase",25,4803,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial45mod.mp4","45_chase",26,4871,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial238mod.mp4","238_mirror",27,4676,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial7mod.mp4","7_mirror",28,5412,1,"incorrect","R1_TTmirror"
"AZNIEFUIVB2H0","chase","trial238mod.mp4","238_chase",29,5117,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial194mod.mp4","194_mirror",30,4901,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial291mod.mp4","291_mirror",31,4708,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial51mod.mp4","51_mirror",32,5292,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial115mod.mp4","115_chase",33,4738,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial34mod.mp4","34_chase",34,4851,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial115mod.mp4","115_mirror",35,4601,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial295mod.mp4","295_chase",36,4606,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial95mod.mp4","95_mirror",37,4835,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial205mod.mp4","205_chase",38,4743,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","chase","trial142mod.mp4","142_chase",39,4909,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial47mod.mp4","47_mirror",40,5547,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","chase","trial7mod.mp4","7_chase",41,4583,1,"correct","R1_TTchase"
"AZNIEFUIVB2H0","mirror","trial275mod.mp4","275_mirror",42,4857,1,"incorrect","R1_TTmirror"
"AZNIEFUIVB2H0","mirror","trial72mod.mp4","72_mirror",43,4974,0,"correct","R0_TTmirror"
"AZNIEFUIVB2H0","mirror","trial103mod.mp4","103_mirror",44,4641,1,"incorrect","R1_TTmirror"
